round,O2,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,pH,sodium_chloride,potassium_chloride,mme_trace_minerals,urea,ammonium_chloride,experiment_number,delta_od
1,1,1.653307319,1.719923139,1.808209658,1.663844168,0.09595532,7,43.34538803,99.07606989,0.628478944,0.419263631,0.821930408,53,0.562
1,1,2.642977953,1.40735817,1.838291287,0.413159564,1.93350628,7,114.2169461,5.397083238,0.457833201,0.436490089,0.795844674,75,0.534
1,1,2.176596165,1.941659093,1.512582898,7.267680645,2.351804823,7,2.400396625,86.59431338,0.134206653,0.311958522,0.608095229,3,0.525
1,1,3.981551647,2.125725508,1.616616011,5.166110158,2.074682862,9,70.46546787,68.67121905,0.756258845,0.480754763,0.645510912,50,0.497
1,1,0.809771538,2.073081255,1.491985917,2.415028095,1.423056573,7,62.45167926,64.62269276,0.291264266,0.457858413,0.204811975,48,0.474
1,1,3.800416946,2.760516405,1.39670372,1.133043498,0.913937017,7,100.9699032,34.05215964,0.6221807,0.444812387,0.178603947,82,0.473
1,1,3.588275194,3.23183012,1.693001747,6.075245619,0.415355153,7,42.6424183,110.2948636,0.933479786,0.391857386,0.198260024,66,0.468
1,1,0.582948983,3.91939497,1.660462976,7.978335142,2.25244835,7,112.5393957,15.63932747,0.231200665,0.377835214,0.168325007,64,0.459
1,1,1.989474416,0.256422698,1.101562738,8.756803036,1.238305494,7,94.40767765,54.05999348,0.817814052,0.495531499,0.801084518,37,0.408
1,1,2.42245245,3.327321529,1.847869992,4.068453312,0.992922708,7,7.892152295,28.39268744,0.683886349,0.038653892,0.998429894,46,0.408
1,1,2.465888739,0.035043426,1.343237996,0.127835445,1.326184422,7,76.88874751,10.26768889,0.327711225,0.352836251,0.518889844,19,0.398
1,1,3.270622015,2.359024286,1.188182592,6.559696913,1.022677049,7,17.47442968,124.9558926,0.781874418,0.319311768,0.49085474,26,0.388
1,1,2.756112576,2.573666811,0.666376472,5.272581697,1.211027354,7,5.964136682,58.39176103,0.211932242,0.185693368,0.862771273,70,0.378
1,1,1.594796419,3.73131752,0.398649246,9.112225771,1.945285946,7,17.83119328,8.874362335,0.570953131,0.245841026,0.853289723,44,0.367
1,1,3.121923923,3.632828236,1.893713713,0.855776131,0.309099406,7,90.98056704,44.78402808,0.724965572,0.266381264,0.386008263,10,0.365
1,1,1.735816956,2.888658762,1.250833988,5.58101356,2.301734686,7,104.3003574,112.2029796,0.359683067,0.222207844,0.660749853,12,0.363
1,1,1.899163485,3.103868961,1.581305981,11.19119668,1.530020535,7,37.12232783,32.02397749,0.178398862,0.177450642,0.712390006,28,0.363
1,1,3.697313786,2.386986017,0.59112221,2.48177737,0.058913189,7,81.19805902,10.75042784,0.128010496,0.384234488,0.256210178,98,0.361
1,1,2.786223888,0.450165898,1.977176785,10.8514359,0.576455146,9,22.91542292,49.95078221,0.35287711,0.441401362,0.360311657,59,0.359
1,1,1.512286544,0.875066578,0.909631014,7.035266876,0.36451336,7,82.93667436,29.81269918,0.433077991,0.427142054,0.629850328,21,0.349
1,1,1.564727664,1.35477221,1.213654041,4.002132297,1.252125353,9,3.105244832,1.934482483,0.993147552,0.381246299,0.353802174,85,0.336
1,1,2.035880804,0.661501706,0.644590795,2.173847795,2.151611149,7,120.0976148,34.54262391,0.923440099,0.288352102,0.910094738,35,0.326
1,1,0.691989362,2.699550867,0.559316576,1.470606208,1.974125504,7,11.42274495,105.4107472,0.957309425,0.401187778,0.344735116,32,0.312
1,1,0.635055304,3.038143158,1.317394853,10.32026911,1.086513177,9,90.27564526,113.8188839,0.398237377,0.415836871,0.640374541,96,0.305
1,1,0.168909118,3.564879417,1.019075871,3.747288465,0.883058384,9,41.93614051,40.67256674,0.197711155,0.289384544,0.95312196,24,0.305
1,1,0.7263695,0.323974788,1.873302102,6.391734838,1.378315091,9,26.23827755,96.79239988,0.597735167,0.225617021,0.846244395,97,0.304
1,1,1.210721731,2.477158785,1.084293604,10.72642922,2.173920572,7,27.64034458,46.69058695,0.04485894,0.09576124,0.97349143,68,0.303
1,1,3.951470852,0.756993175,0.802328825,11.68098736,1.44011125,7,87.1745795,76.89285278,0.677936137,0.142159149,0.14703019,79,0.301
1,1,3.875600576,1.480900407,1.074386597,2.731351018,0.528084934,9,14.18716367,79.83725518,0.239957839,0.158767685,0.867383778,15,0.297
1,1,1.316337466,1.502752662,0.412500381,7.33588028,1.009671092,7,108.0474705,17.09920913,0.281469256,0.346550465,0.930974126,77,0.295
1,1,0.33335349,3.19231081,0.961910188,4.648507476,0.019027044,9,29.97011691,0.467912992,0.551258266,0.349961489,0.624294996,40,0.291
1,1,1.758629322,2.261224031,0.698901236,4.304806709,1.720448583,7,92.33290702,89.08817917,0.889011383,0.16944249,0.769667029,60,0.285
1,1,0.91929841,3.292935371,0.35854423,6.324901342,1.847859323,7,69.81165707,56.51655421,0.518272817,0.45013091,0.278218776,16,0.278
1,1,3.618352652,1.854446411,0.882193148,1.060349464,1.069850773,9,57.39650503,117.2957942,0.511467993,0.231063336,0.695844531,63,0.26
1,1,2.8208673,3.156460762,1.45691216,8.393238544,2.123053372,9,79.92614806,35.85493937,0.650908053,0.137846753,0.154076442,6,0.257
1,1,2.325659752,1.315187931,0.444903731,8.616399765,1.672867537,7,52.93294415,110.7810587,0.616595149,0.360817611,0.9668293,51,0.255
1,1,0.188904122,0.795535266,1.539830804,1.289103806,1.797376573,9,105.8283374,60.75843796,0.806319952,0.100148819,0.53398335,41,0.249
1,1,2.995775223,0.568857849,1.009713292,6.814723492,1.746967286,7,54.91487309,85.60709655,0.01774898,0.477327943,0.831141353,91,0.248
1,1,0.938331962,0.069550306,0.832427859,9.872941017,0.931147784,7,1.784233842,45.2198647,0.470127702,0.127159491,0.236171216,49,0.244
1,1,0.220846877,2.16525197,0.853725314,6.586696386,2.490542233,7,122.2613156,53.56677249,0.634733856,0.276694179,0.032483369,88,0.237
1,1,1.435558796,3.51487875,1.755654573,5.877964854,1.655350327,7,78.62501591,122.9251996,0.479558706,0.05096747,0.899649382,84,0.235
1,1,2.608909845,3.4187603,0.493918806,10.95891881,0.108503904,7,73.08062911,103.4116447,0.281227887,0.226659954,0.764271021,86,0.219
1,1,0.556114256,0.689189557,1.155340802,11.91894292,0.04666982,7,52.31684167,7.395349327,0.780643079,0.199456119,0.313899402,1,0.212
1,1,1.009262323,2.596583128,1.928719997,6.880861759,0.854219571,9,49.81039092,73.48833978,0.334578872,0.071507044,0.444556445,36,0.208
1,1,0.828805327,1.287211418,1.949748635,4.872857809,1.131341085,7,118.5163334,83.72914046,0.712517142,0.150397584,0.30911839,17,0.204
1,1,2.282223463,2.044981241,0.996906638,10.6699326,0.714599043,7,109.966293,100.4713029,0.379621536,0.062145848,0.550030649,14,0.191
1,1,3.477490187,0.345985204,0.596794665,5.011706114,1.624496728,7,46.64703831,19.12692003,0.980024874,0.015714236,0.459772021,7,0.187
1,1,1.098611951,1.763830662,1.38697648,9.31561017,1.768537313,9,114.9232984,90.64440429,0.661395729,0.257690936,0.041055467,29,0.186
1,1,3.231147528,2.97768712,0.761492491,7.835916281,0.499527082,7,36.76562384,84.14016664,0.467447013,0.258733928,0.068460859,42,0.183
1,1,2.212231398,2.664601564,1.054333806,9.725500345,0.182603877,7,67.23861396,77.38223672,0.869820654,0.111004002,0.878430247,62,0.179
1,1,1.403650641,1.383466601,0.569541216,10.9866221,2.32937634,9,64.38925862,114.3087447,0.089161597,0.322174072,0.40107137,45,0.178
1,1,3.663612604,1.21927309,0.09966632,4.52359271,2.230591923,7,21.03651501,27.90565789,0.860145867,0.194998771,0.229890019,95,0.175
1,1,2.673085928,3.537802219,0.52401197,7.492032051,1.27901122,9,99.21686351,13.10563926,0.098199442,0.190611184,0.294426739,54,0.173
1,1,0.305526882,0.414192498,0.47240907,2.594607532,2.222412676,9,86.0574469,23.36044796,0.444954664,0.039570935,0.893022716,25,0.168
1,1,3.048868418,2.097031355,0.229094997,9.806528091,1.823809445,9,10.65585017,49.46890101,0.16198054,0.284941018,0.599585176,74,0.161
