O2,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,pH,sodium_chloride,potassium_chloride,mme_trace_minerals,urea,ammonium_chloride,type,direction,frontier_type,growth_pred,var,is_redo,round,experiment_number,feature,bad,parent_plate,strain,environment,fitness,depth
0.0,4.0,3.6,2.0,8.4,2.0,7.0,12.5,12.5,0.9,0.4,0.8,ROLLOUT,DOWN,FRONTIER,1.0,2.141709327697754,False,2,40,0.888,0,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,P_putida_AG5577,pH7,2.9560585885486024,54.099999999999994
0.0,4.0,3.6,2.0,8.4,2.0,7.0,25.0,12.5,0.9,0.4,0.8,ROLLOUT,DOWN,BEYOND,0.0,2.141709327697754,False,2,99,0.8280000000000001,0,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,P_putida_AG5577,pH7,2.7563249001331567,66.60000000000001
0.0,4.0,3.6,1.8,10.8,2.25,7.0,25.0,0.0,0.9,0.45,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.141709327697754,False,2,92,0.8220000000000001,0,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,P_putida_AG5577,pH7,2.736351531291612,56.7
0.0,3.6,3.6,2.0,9.6,2.0,7.0,12.5,12.5,1.0,0.5,1.0,ROLLOUT,DOWN,BEYOND,0.0,2.141709327697754,False,2,88,0.79,0,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,P_putida_AG5577,pH7,2.6298268974700405,55.3
1.0,4.0,3.6,2.0,12.0,2.25,7.0,0.0,0.0,0.9,0.5,0.9,ROLLOUT,DOWN,FRONTIER,1.0,2.141709327697754,False,2,39,0.79,0,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,P_putida_AG5577,pH7,2.6298268974700405,34.15
0.0,3.6,4.0,2.0,9.6,2.25,7.0,0.0,25.0,1.0,0.5,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.141709327697754,False,2,100,0.784,0,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,P_putida_AG5577,pH7,2.609853528628496,55.85
0.0,3.6,3.6,2.0,10.8,2.0,7.0,12.5,12.5,0.9,0.5,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.141709327697754,False,2,77,0.782,0,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,P_putida_AG5577,pH7,2.6031957390146476,56.3
0.0,4.0,3.6,1.8,10.8,2.25,7.0,25.0,0.0,0.9,0.5,0.9,ROLLOUT,DOWN,FRONTIER,1.0,2.141709327697754,False,2,33,0.746,0,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,P_putida_AG5577,pH7,2.48335552596538,56.75
1.0,4.0,4.0,2.0,9.6,2.25,7.0,12.5,0.0,0.9,0.5,1.0,ROLLOUT,DOWN,BEYOND,0.0555558539519807,2.141709327697754,False,2,60,0.737,0,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,P_putida_AG5577,pH7,2.453395472703063,44.75
1.0,4.0,3.6,2.0,10.8,2.5,9.0,12.5,0.0,0.9,0.5,1.0,ROLLOUT,DOWN,FRONTIER,0.5902249811849243,2.141709327697754,False,2,47,0.734,0,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,P_putida_AG5577,pH9,2.443408788282291,47.8
