O2,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,pH,sodium_chloride,potassium_chloride,mme_trace_minerals,urea,ammonium_chloride,type,direction,frontier_type,growth_pred,var,is_redo,round,experiment_number
0.0,3.6,3.2,1.6,10.799999999999999,2.0,9.0,0.0,0.0,0.8,0.4,0.8,ROLLOUT,DOWN,FRONTIER,1.0,0.20375443994998932,False,3,
0.0,2.4000000000000004,3.6,1.6,9.6,1.75,7.0,12.5,12.5,0.7000000000000001,0.35000000000000003,0.9,ROLLOUT,DOWN,FRONTIER,1.0,0.5325243473052979,False,3,
0.0,3.6,3.6,2.0,12.0,2.25,9.0,12.5,0.0,0.7000000000000001,0.5,0.8,ROLLOUT,DOWN,FRONTIER,1.0,0.6219074726104736,False,3,
0.0,2.8000000000000003,2.8000000000000003,1.0,9.6,1.75,9.0,12.5,12.5,0.8,0.35000000000000003,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,0.748631477355957,False,3,
0.0,3.2,3.6,1.6,10.799999999999999,2.0,9.0,25.0,0.0,1.0,0.5,0.9,ROLLOUT,DOWN,FRONTIER,1.0,0.7508782148361206,False,3,
0.0,2.8000000000000003,3.2,1.2000000000000002,9.6,1.25,9.0,12.5,12.5,0.9,0.25,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,0.7816975116729736,False,3,
0.0,3.6,3.6,1.6,10.799999999999999,2.25,9.0,25.0,0.0,0.8,0.45,0.8,ROLLOUT,DOWN,FRONTIER,1.0,0.8354536294937134,False,3,
0.0,3.2,2.8000000000000003,1.2000000000000002,7.199999999999999,1.75,7.0,25.0,12.5,0.8,0.30000000000000004,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,0.864692211151123,False,3,
0.0,4.0,3.6,2.0,9.6,2.0,9.0,0.0,12.5,0.7000000000000001,0.4,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,0.9040515422821045,False,3,
1.0,3.2,3.6,2.0,9.6,2.25,9.0,25.0,0.0,0.9,0.5,0.8,ROLLOUT,DOWN,FRONTIER,1.0,1.0008516311645508,False,3,
0.0,3.2,3.6,2.0,8.4,2.25,9.0,0.0,0.0,1.0,0.5,0.9,ROLLOUT,DOWN,FRONTIER,1.0,1.01002836227417,False,3,
0.0,2.8000000000000003,2.4000000000000004,1.0,9.6,1.5,7.0,25.0,12.5,0.6000000000000001,0.35000000000000003,0.8,ROLLOUT,DOWN,FRONTIER,1.0,1.3266911506652832,False,3,
0.0,3.6,2.4000000000000004,1.0,9.6,1.75,9.0,25.0,0.0,0.8,0.45,0.8,ROLLOUT,DOWN,FRONTIER,1.0,1.3652340173721313,False,3,
0.0,4.0,3.2,1.6,8.4,2.5,9.0,0.0,25.0,0.9,0.35000000000000003,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,1.401158332824707,False,3,
0.0,3.2,3.6,1.6,8.4,2.0,7.0,50.0,25.0,0.9,0.2,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,1.523751139640808,False,3,
0.0,2.0,3.2,0.8,9.6,1.75,9.0,25.0,25.0,0.5,0.30000000000000004,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,1.5692923069000244,False,3,
0.0,2.8000000000000003,4.0,1.4000000000000001,7.199999999999999,1.5,5.0,50.0,25.0,0.7000000000000001,0.2,0.30000000000000004,ROLLOUT,DOWN,FRONTIER,1.0,1.636918544769287,False,3,
0.0,2.8000000000000003,2.8000000000000003,1.4000000000000001,10.799999999999999,2.0,7.0,37.5,0.0,0.4,0.35000000000000003,0.5,ROLLOUT,DOWN,FRONTIER,1.0,1.6494436264038086,False,3,
0.0,2.4000000000000004,3.2,1.2000000000000002,7.199999999999999,2.25,9.0,25.0,12.5,0.9,0.25,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,1.6574726104736328,False,3,
0.0,3.2,4.0,1.0,9.6,1.75,7.0,37.5,12.5,0.7000000000000001,0.4,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,1.7138596773147583,False,3,
0.0,2.8000000000000003,2.0,1.4000000000000001,6.0,1.75,7.0,100.0,12.5,0.4,0.35000000000000003,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,1.875192642211914,False,3,
0.0,3.2,2.8000000000000003,1.4000000000000001,8.4,2.25,7.0,37.5,12.5,0.9,0.4,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,1.9045840501785278,False,3,
0.0,2.0,1.6,1.2000000000000002,9.6,1.75,9.0,25.0,12.5,0.8,0.30000000000000004,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,1.952832579612732,False,3,
1.0,2.4000000000000004,2.4000000000000004,1.8,8.4,1.75,7.0,37.5,0.0,0.7000000000000001,0.45,0.30000000000000004,ROLLOUT,DOWN,FRONTIER,1.0,1.9744036197662354,False,3,
0.0,3.2,4.0,1.8,10.799999999999999,2.5,5.0,37.5,0.0,0.8,0.35000000000000003,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.0342788696289062,False,3,
0.0,3.2,2.0,1.4000000000000001,7.199999999999999,1.75,9.0,37.5,12.5,0.4,0.2,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.0416347980499268,False,3,
0.0,3.2,3.6,1.8,8.4,2.25,9.0,25.0,37.5,0.6000000000000001,0.5,0.8,ROLLOUT,DOWN,FRONTIER,1.0,2.075199604034424,False,3,
0.0,2.0,3.2,2.0,8.4,2.25,7.0,37.5,25.0,0.9,0.25,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.1021828651428223,False,3,
0.0,2.8000000000000003,2.4000000000000004,1.6,4.8,0.75,7.0,25.0,25.0,0.7000000000000001,0.25,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.1037046909332275,False,3,
0.0,2.0,3.6,1.0,6.0,1.25,5.0,125.0,50.0,0.0,0.25,0.5,ROLLOUT,DOWN,FRONTIER,1.0,2.106123208999634,False,3,
0.0,2.8000000000000003,3.2,1.4000000000000001,2.4,0.75,5.0,50.0,75.0,0.7000000000000001,0.30000000000000004,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.1102681159973145,False,3,
1.0,2.4000000000000004,2.4000000000000004,0.8,7.199999999999999,1.5,5.0,0.0,50.0,0.30000000000000004,0.35000000000000003,0.5,ROLLOUT,DOWN,FRONTIER,1.0,2.110459089279175,False,3,
0.0,3.6,2.8000000000000003,1.6,8.4,1.5,5.0,37.5,37.5,0.6000000000000001,0.2,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,2.110534906387329,False,3,
0.0,2.8000000000000003,3.2,1.6,8.4,2.25,7.0,62.5,12.5,0.7000000000000001,0.45,0.9,ROLLOUT,DOWN,FRONTIER,1.0,2.110971689224243,False,3,
1.0,2.4000000000000004,2.8000000000000003,1.6,9.6,1.5,9.0,50.0,0.0,0.9,0.45,0.8,ROLLOUT,DOWN,FRONTIER,1.0,2.1109719276428223,False,3,
0.0,2.8000000000000003,2.8000000000000003,1.4000000000000001,9.6,1.5,7.0,62.5,12.5,0.7000000000000001,0.30000000000000004,0.9,ROLLOUT,DOWN,FRONTIER,1.0,2.1109726428985596,False,3,
0.0,3.6,2.0,1.8,2.4,1.25,5.0,50.0,37.5,0.9,0.35000000000000003,0.4,ROLLOUT,DOWN,FRONTIER,1.0,2.1109728813171387,False,3,
0.0,2.4000000000000004,1.6,1.2000000000000002,7.199999999999999,1.5,5.0,62.5,100.0,0.5,0.30000000000000004,0.4,ROLLOUT,DOWN,FRONTIER,1.0,2.1109728813171387,False,3,
0.0,0.4,1.6,0.8,1.2,0.75,5.0,100.0,100.0,0.0,0.1,0.2,ROLLOUT,DOWN,FRONTIER,1.0,2.1109728813171387,False,3,
0.0,2.8000000000000003,3.2,0.8,4.8,1.0,5.0,37.5,50.0,0.8,0.4,0.30000000000000004,ROLLOUT,DOWN,FRONTIER,1.0,2.1109728813171387,False,3,
0.0,3.2,2.4000000000000004,1.6,4.8,2.0,7.0,50.0,37.5,0.9,0.25,0.8,ROLLOUT,DOWN,FRONTIER,1.0,2.1109728813171387,False,3,
1.0,4.0,4.0,2.0,12.0,2.5,9.0,0.0,0.0,0.9,0.45,1.0,ROLLOUT,DOWN,FRONTIER,1.0,2.141709327697754,True,2,6.0
1.0,4.0,3.6,2.0,12.0,2.5,9.0,0.0,12.5,1.0,0.5,1.0,ROLLOUT,DOWN,FRONTIER,1.0,2.141709327697754,True,2,14.0
0.0,3.6,3.6,1.8,12.0,2.0,9.0,0.0,12.5,0.9,0.5,0.8,ROLLOUT,DOWN,FRONTIER,1.0,2.141709327697754,True,2,9.0
0.0,3.6,3.6,2.0,9.6,2.0,9.0,12.5,12.5,1.0,0.5,1.0,ROLLOUT,DOWN,FRONTIER,1.0,2.141709327697754,True,2,29.0
1.0,2.8000000000000003,2.8000000000000003,1.6,9.6,2.5,7.0,37.5,12.5,0.7000000000000001,0.30000000000000004,0.8,ROLLOUT,DOWN,FRONTIER,0.9982832282910743,1.6186343431472778,False,3,
0.0,2.4000000000000004,1.2000000000000002,1.0,8.4,2.0,5.0,50.0,87.5,0.7000000000000001,0.4,0.5,ROLLOUT,DOWN,FRONTIER,0.9797314147511242,2.108501672744751,False,3,
0.0,4.0,3.6,1.4000000000000001,9.6,1.25,7.0,62.5,50.0,0.8,0.4,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,0.9589601923929849,1.5537205934524536,False,3,
0.0,2.8000000000000003,2.4000000000000004,1.6,9.6,2.0,5.0,0.0,62.5,0.5,0.25,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,0.8780643063628468,2.110971689224243,False,3,
0.0,3.2,3.2,0.6000000000000001,7.199999999999999,1.0,7.0,12.5,50.0,0.7000000000000001,0.35000000000000003,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,0.6657184996994858,1.4413858652114868,False,3,
