O2,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,pH,sodium_chloride,potassium_chloride,mme_trace_minerals,urea,ammonium_chloride,type,direction,frontier_type,growth_pred,var,is_redo,round
0.0,3.6,4.0,1.8,10.799999999999999,2.25,7.0,12.5,12.5,0.8,0.45,0.9,ROLLOUT,DOWN,FRONTIER,1.0,0.4824843406677246,False,4
1.0,3.6,4.0,2.0,10.799999999999999,2.5,9.0,0.0,0.0,1.0,0.5,1.0,ROLLOUT,DOWN,FRONTIER,1.0,0.7414789199829102,False,4
1.0,4.0,4.0,2.0,10.799999999999999,2.5,9.0,0.0,0.0,1.0,0.5,1.0,ROLLOUT,DOWN,FRONTIER,1.0,0.7965233325958252,False,4
0.0,3.2,3.6,1.6,9.6,1.5,9.0,25.0,0.0,0.9,0.35000000000000003,0.9,ROLLOUT,DOWN,FRONTIER,1.0,0.9407941102981567,False,4
0.0,2.8000000000000003,2.8000000000000003,1.4000000000000001,10.799999999999999,2.0,9.0,0.0,12.5,0.9,0.45,1.0,ROLLOUT,DOWN,FRONTIER,1.0,0.9784625768661499,False,4
0.0,3.6,3.6,1.4000000000000001,10.799999999999999,2.25,9.0,12.5,12.5,0.7000000000000001,0.4,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,1.0442124605178833,False,4
0.0,3.6,4.0,1.8,10.799999999999999,2.5,9.0,12.5,12.5,0.8,0.45,0.9,ROLLOUT,DOWN,FRONTIER,1.0,1.0792293548583984,False,4
1.0,3.2,3.6,1.8,10.799999999999999,2.5,7.0,12.5,12.5,0.9,0.5,0.9,ROLLOUT,DOWN,FRONTIER,1.0,1.089033842086792,False,4
0.0,4.0,3.2,1.2000000000000002,10.799999999999999,2.25,9.0,12.5,12.5,0.9,0.5,1.0,ROLLOUT,DOWN,FRONTIER,1.0,1.3914263248443604,False,4
0.0,3.6,3.2,1.4000000000000001,7.199999999999999,2.0,7.0,37.5,12.5,0.9,0.45,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,1.4262875318527222,False,4
0.0,2.8000000000000003,1.6,1.2000000000000002,9.6,0.75,9.0,25.0,12.5,0.6000000000000001,0.25,0.5,ROLLOUT,DOWN,FRONTIER,1.0,1.4342901706695557,False,4
0.0,4.0,2.4000000000000004,1.2000000000000002,9.6,1.75,9.0,0.0,12.5,0.8,0.4,0.8,ROLLOUT,DOWN,FRONTIER,1.0,1.4518651962280273,False,4
0.0,3.6,4.0,1.8,9.6,2.25,9.0,12.5,12.5,0.8,0.45,0.9,ROLLOUT,DOWN,FRONTIER,1.0,1.4781651496887207,False,4
0.0,4.0,3.2,1.2000000000000002,8.4,1.5,9.0,0.0,0.0,0.8,0.5,0.9,ROLLOUT,DOWN,FRONTIER,1.0,1.520579218864441,False,4
0.0,2.0,2.0,1.0,9.6,1.75,9.0,25.0,0.0,1.0,0.2,0.8,ROLLOUT,DOWN,FRONTIER,1.0,1.6543340682983398,False,4
0.0,3.6,3.2,1.8,8.4,2.5,7.0,25.0,25.0,1.0,0.45,0.8,ROLLOUT,DOWN,FRONTIER,1.0,1.6830317974090576,False,4
