stock,Source Well,volume
P_putida_AG5577,A01,50.0 ul
ammonium_chloride,A03,50.0 ul
d_glucose,A04,50.0 ul
mme_trace_minerals,A05,50.0 ul
potassium_chloride,A06,50.0 ul
potassium_chloride,A07,50.0 ul
potassium_chloride,A08,50.0 ul
sodium_acetate,A09,50.0 ul
sodium_benzoate,A10,50.0 ul
sodium_chloride,A11,50.0 ul
sodium_chloride,A12,50.0 ul
sodium_chloride,A13,50.0 ul
sodium_citrate,A14,50.0 ul
sodium_octanoate,A15,50.0 ul
urea,A16,50.0 ul
water,A17,50.0 ul
water,A18,50.0 ul
water,A19,50.0 ul
water,A20,50.0 ul
water,A21,50.0 ul
water,A22,50.0 ul
water,A23,50.0 ul
