,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
0,Source,384PP_AQ_BP2,A03,Destination,A01,27.5
1,Source,384PP_AQ_BP2,A04,Destination,A01,270.0
2,Source,384PP_AQ_BP2,A17,Destination,A01,2000.0
3,Source,384PP_AQ_BP2,A17,Destination,A01,1472.5
4,Source,384PP_AQ_BP2,A03,Destination,A02,7.5
5,Source,384PP_AQ_BP2,A04,Destination,A02,25.0
6,Source,384PP_AQ_BP2,A05,Destination,A02,5.0
7,Source,384PP_AQ_BP2,A06,Destination,A02,580.0
8,Source,384PP_AQ_BP2,A09,Destination,A02,70.0
9,Source,384PP_AQ_BP2,A10,Destination,A02,5.0
10,Source,384PP_AQ_BP2,A11,Destination,A02,220.0
11,Source,384PP_AQ_BP2,A14,Destination,A02,157.5
12,Source,384PP_AQ_BP2,A15,Destination,A02,162.5
13,Source,384PP_AQ_BP2,A16,Destination,A02,5.0
14,Source,384PP_AQ_BP2,A17,Destination,A02,2000.0
15,Source,384PP_AQ_BP2,A17,Destination,A02,527.5
16,Source,384PP_AQ_BP2,A03,Destination,A03,5.0
17,Source,384PP_AQ_BP2,A04,Destination,A03,2.5
18,Source,384PP_AQ_BP2,A05,Destination,A03,52.5
19,Source,384PP_AQ_BP2,A06,Destination,A03,1235.0
20,Source,384PP_AQ_BP2,A09,Destination,A03,252.5
21,Source,384PP_AQ_BP2,A10,Destination,A03,25.0
22,Source,384PP_AQ_BP2,A11,Destination,A03,1082.5
23,Source,384PP_AQ_BP2,A14,Destination,A03,150.0
24,Source,384PP_AQ_BP2,A15,Destination,A03,15.0
25,Source,384PP_AQ_BP2,A16,Destination,A03,2.5
26,Source,384PP_AQ_BP2,A17,Destination,A03,945.0
27,Source,384PP_AQ_BP2,A03,Destination,A04,10.0
28,Source,384PP_AQ_BP2,A04,Destination,A04,2.5
29,Source,384PP_AQ_BP2,A06,Destination,A04,1047.5
30,Source,384PP_AQ_BP2,A09,Destination,A04,177.5
31,Source,384PP_AQ_BP2,A10,Destination,A04,30.0
32,Source,384PP_AQ_BP2,A11,Destination,A04,272.5
33,Source,384PP_AQ_BP2,A14,Destination,A04,85.0
34,Source,384PP_AQ_BP2,A15,Destination,A04,72.5
35,Source,384PP_AQ_BP2,A16,Destination,A04,2.5
36,Source,384PP_AQ_BP2,A17,Destination,A04,2000.0
37,Source,384PP_AQ_BP2,A17,Destination,A04,70.0
38,Source,384PP_AQ_BP2,A04,Destination,A05,57.5
39,Source,384PP_AQ_BP2,A05,Destination,A05,25.0
40,Source,384PP_AQ_BP2,A06,Destination,A05,902.5
41,Source,384PP_AQ_BP2,A09,Destination,A05,240.0
42,Source,384PP_AQ_BP2,A10,Destination,A05,25.0
43,Source,384PP_AQ_BP2,A11,Destination,A05,592.5
44,Source,384PP_AQ_BP2,A14,Destination,A05,57.5
45,Source,384PP_AQ_BP2,A15,Destination,A05,160.0
46,Source,384PP_AQ_BP2,A16,Destination,A05,2.5
47,Source,384PP_AQ_BP2,A17,Destination,A05,1705.0
48,Source,384PP_AQ_BP2,A03,Destination,A06,5.0
49,Source,384PP_AQ_BP2,A04,Destination,A06,85.0
50,Source,384PP_AQ_BP2,A05,Destination,A06,5.0
51,Source,384PP_AQ_BP2,A06,Destination,A06,1422.5
52,Source,384PP_AQ_BP2,A09,Destination,A06,47.5
53,Source,384PP_AQ_BP2,A10,Destination,A06,25.0
54,Source,384PP_AQ_BP2,A11,Destination,A06,692.5
55,Source,384PP_AQ_BP2,A14,Destination,A06,5.0
56,Source,384PP_AQ_BP2,A15,Destination,A06,170.0
57,Source,384PP_AQ_BP2,A17,Destination,A06,1307.5
58,Source,384PP_AQ_BP2,A03,Destination,A07,2.5
59,Source,384PP_AQ_BP2,A04,Destination,A07,77.5
60,Source,384PP_AQ_BP2,A05,Destination,A07,30.0
61,Source,384PP_AQ_BP2,A06,Destination,A07,1092.5
62,Source,384PP_AQ_BP2,A09,Destination,A07,82.5
63,Source,384PP_AQ_BP2,A10,Destination,A07,5.0
64,Source,384PP_AQ_BP2,A11,Destination,A07,1470.0
65,Source,384PP_AQ_BP2,A14,Destination,A07,62.5
66,Source,384PP_AQ_BP2,A15,Destination,A07,92.5
67,Source,384PP_AQ_BP2,A16,Destination,A07,5.0
68,Source,384PP_AQ_BP2,A17,Destination,A07,845.0
69,Source,384PP_AQ_BP2,A03,Destination,A08,5.0
70,Source,384PP_AQ_BP2,A04,Destination,A08,65.0
71,Source,384PP_AQ_BP2,A05,Destination,A08,40.0
72,Source,384PP_AQ_BP2,A06,Destination,A08,330.0
73,Source,384PP_AQ_BP2,A09,Destination,A08,195.0
74,Source,384PP_AQ_BP2,A10,Destination,A08,7.5
75,Source,384PP_AQ_BP2,A11,Destination,A08,335.0
76,Source,384PP_AQ_BP2,A14,Destination,A08,90.0
77,Source,384PP_AQ_BP2,A15,Destination,A08,57.5
78,Source,384PP_AQ_BP2,A16,Destination,A08,2.5
79,Source,384PP_AQ_BP2,A17,Destination,A08,2000.0
80,Source,384PP_AQ_BP2,A17,Destination,A08,637.5
81,Source,384PP_AQ_BP2,A03,Destination,A09,10.0
82,Source,384PP_AQ_BP2,A04,Destination,A09,12.5
83,Source,384PP_AQ_BP2,A05,Destination,A09,15.0
84,Source,384PP_AQ_BP2,A06,Destination,A09,1852.5
85,Source,384PP_AQ_BP2,A09,Destination,A09,215.0
86,Source,384PP_AQ_BP2,A10,Destination,A09,10.0
87,Source,384PP_AQ_BP2,A11,Destination,A09,1342.5
88,Source,384PP_AQ_BP2,A14,Destination,A09,130.0
89,Source,384PP_AQ_BP2,A15,Destination,A09,195.0
90,Source,384PP_AQ_BP2,A16,Destination,A09,5.0
91,Source,384PP_AQ_BP2,A17,Destination,A10,2000.0
92,Source,384PP_AQ_BP2,A17,Destination,A10,1767.5
93,Source,384PP_AQ_BP2,A03,Destination,A11,2.5
94,Source,384PP_AQ_BP2,A04,Destination,A11,45.0
95,Source,384PP_AQ_BP2,A05,Destination,A11,42.5
96,Source,384PP_AQ_BP2,A06,Destination,A11,1645.0
97,Source,384PP_AQ_BP2,A09,Destination,A11,182.5
98,Source,384PP_AQ_BP2,A10,Destination,A11,17.5
99,Source,384PP_AQ_BP2,A11,Destination,A11,802.5
100,Source,384PP_AQ_BP2,A14,Destination,A11,180.0
101,Source,384PP_AQ_BP2,A15,Destination,A11,67.5
102,Source,384PP_AQ_BP2,A16,Destination,A11,2.5
103,Source,384PP_AQ_BP2,A17,Destination,A11,782.5
104,Source,384PP_AQ_BP2,A17,Destination,A12,2000.0
105,Source,384PP_AQ_BP2,A17,Destination,A12,1767.5
106,Source,384PP_AQ_BP2,A03,Destination,A13,5.0
107,Source,384PP_AQ_BP2,A04,Destination,A13,90.0
108,Source,384PP_AQ_BP2,A05,Destination,A13,17.5
109,Source,384PP_AQ_BP2,A06,Destination,A13,1447.5
110,Source,384PP_AQ_BP2,A09,Destination,A13,72.5
111,Source,384PP_AQ_BP2,A10,Destination,A13,42.5
112,Source,384PP_AQ_BP2,A11,Destination,A13,920.0
113,Source,384PP_AQ_BP2,A14,Destination,A13,207.5
114,Source,384PP_AQ_BP2,A15,Destination,A13,100.0
115,Source,384PP_AQ_BP2,A16,Destination,A13,5.0
116,Source,384PP_AQ_BP2,A17,Destination,A13,855.0
117,Source,384PP_AQ_BP2,A03,Destination,A14,2.5
118,Source,384PP_AQ_BP2,A04,Destination,A14,80.0
119,Source,384PP_AQ_BP2,A05,Destination,A14,22.5
120,Source,384PP_AQ_BP2,A06,Destination,A14,1430.0
121,Source,384PP_AQ_BP2,A09,Destination,A14,7.5
122,Source,384PP_AQ_BP2,A10,Destination,A14,52.5
123,Source,384PP_AQ_BP2,A11,Destination,A14,542.5
124,Source,384PP_AQ_BP2,A14,Destination,A14,130.0
125,Source,384PP_AQ_BP2,A15,Destination,A14,35.0
126,Source,384PP_AQ_BP2,A16,Destination,A14,2.5
127,Source,384PP_AQ_BP2,A17,Destination,A14,1465.0
128,Source,384PP_AQ_BP2,A03,Destination,A15,27.5
129,Source,384PP_AQ_BP2,A04,Destination,A15,270.0
130,Source,384PP_AQ_BP2,A17,Destination,A15,2000.0
131,Source,384PP_AQ_BP2,A17,Destination,A15,1472.5
132,Source,384PP_AQ_BP2,A03,Destination,A16,2.5
133,Source,384PP_AQ_BP2,A04,Destination,A16,70.0
134,Source,384PP_AQ_BP2,A05,Destination,A16,10.0
135,Source,384PP_AQ_BP2,A06,Destination,A16,1455.0
136,Source,384PP_AQ_BP2,A09,Destination,A16,127.5
137,Source,384PP_AQ_BP2,A10,Destination,A16,15.0
138,Source,384PP_AQ_BP2,A11,Destination,A16,1205.0
139,Source,384PP_AQ_BP2,A14,Destination,A16,82.5
140,Source,384PP_AQ_BP2,A15,Destination,A16,127.5
141,Source,384PP_AQ_BP2,A16,Destination,A16,5.0
142,Source,384PP_AQ_BP2,A17,Destination,A16,670.0
143,Source,384PP_AQ_BP2,A03,Destination,A17,7.5
144,Source,384PP_AQ_BP2,A04,Destination,A17,102.5
145,Source,384PP_AQ_BP2,A05,Destination,A17,50.0
146,Source,384PP_AQ_BP2,A06,Destination,A17,632.5
147,Source,384PP_AQ_BP2,A09,Destination,A17,145.0
148,Source,384PP_AQ_BP2,A10,Destination,A17,5.0
149,Source,384PP_AQ_BP2,A11,Destination,A17,1550.0
150,Source,384PP_AQ_BP2,A14,Destination,A17,7.5
151,Source,384PP_AQ_BP2,A15,Destination,A17,22.5
152,Source,384PP_AQ_BP2,A16,Destination,A17,2.5
153,Source,384PP_AQ_BP2,A17,Destination,A17,1245.0
154,Source,384PP_AQ_BP2,A03,Destination,A18,7.5
155,Source,384PP_AQ_BP2,A04,Destination,A18,97.5
156,Source,384PP_AQ_BP2,A05,Destination,A18,37.5
157,Source,384PP_AQ_BP2,A06,Destination,A18,307.5
158,Source,384PP_AQ_BP2,A09,Destination,A18,250.0
159,Source,384PP_AQ_BP2,A10,Destination,A18,35.0
160,Source,384PP_AQ_BP2,A11,Destination,A18,65.0
161,Source,384PP_AQ_BP2,A14,Destination,A18,207.5
162,Source,384PP_AQ_BP2,A15,Destination,A18,137.5
163,Source,384PP_AQ_BP2,A16,Destination,A18,5.0
164,Source,384PP_AQ_BP2,A17,Destination,A18,2000.0
165,Source,384PP_AQ_BP2,A17,Destination,A18,620.0
166,Source,384PP_AQ_BP2,A17,Destination,A19,2000.0
167,Source,384PP_AQ_BP2,A17,Destination,A19,1767.5
168,Source,384PP_AQ_BP2,A03,Destination,A20,5.0
169,Source,384PP_AQ_BP2,A04,Destination,A20,55.0
