parent_plate,parent_well_index,parent_well,solution_id,replicate,plate_control,plate_blank,strain,environment,plate_name
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,1,A1,expt53_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,2,A2,expt67_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,3,A3,expt75_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,4,A4,expt49_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,5,A5,expt26_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,6,A6,expt54_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,7,A7,expt21_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,8,A8,expt2_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,9,A9,expt28_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,10,A10,expt71_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,11,A11,expt38_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,12,A12,expt58_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,13,A13,expt27_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,14,A14,expt85_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,15,A15,plate_blank,1,False,True,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,16,A16,expt50_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,17,A17,expt86_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,18,A18,plate_control,1,True,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,19,A19,plate_control,4,True,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,20,A20,expt84_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,21,A21,expt45_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,22,A22,expt93_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,23,A23,expt80_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,24,A24,plate_blank,2,False,True,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,25,B1,expt24_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,26,B2,plate_blank,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,27,B3,plate_control,3,True,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,28,B4,expt97_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,29,B5,plate_blank,4,False,True,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,30,B6,expt34_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,31,B7,expt22_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,32,B8,expt13_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed,33,B9,expt78_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$0c24a678e628f24ddee18f3082c6f46d3ed14fed
