,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
0,Source,384PP_AQ_BP2,A03,Destination,A01,7.5
1,Source,384PP_AQ_BP2,A04,Destination,A01,90.0
2,Source,384PP_AQ_BP2,A07,Destination,A01,45.0
3,Source,384PP_AQ_BP2,A09,Destination,A01,600.0
4,Source,384PP_AQ_BP2,A10,Destination,A01,242.5
5,Source,384PP_AQ_BP2,A11,Destination,A01,45.0
6,Source,384PP_AQ_BP2,A12,Destination,A01,350.0
7,Source,384PP_AQ_BP2,A13,Destination,A01,357.5
8,Source,384PP_AQ_BP2,A16,Destination,A01,202.5
9,Source,384PP_AQ_BP2,A17,Destination,A01,5.0
10,Source,384PP_AQ_BP2,A18,Destination,A01,2000.0
11,Source,384PP_AQ_BP2,A18,Destination,A01,242.5
12,Source,384PP_AQ_BP2,A03,Destination,A02,10.0
13,Source,384PP_AQ_BP2,A04,Destination,A02,112.5
14,Source,384PP_AQ_BP2,A07,Destination,A02,50.0
15,Source,384PP_AQ_BP2,A09,Destination,A02,400.0
16,Source,384PP_AQ_BP2,A10,Destination,A02,267.5
17,Source,384PP_AQ_BP2,A11,Destination,A02,55.0
18,Source,384PP_AQ_BP2,A13,Destination,A02,447.5
19,Source,384PP_AQ_BP2,A16,Destination,A02,225.0
20,Source,384PP_AQ_BP2,A17,Destination,A02,5.0
21,Source,384PP_AQ_BP2,A18,Destination,A02,2000.0
22,Source,384PP_AQ_BP2,A18,Destination,A02,2000.0
23,Source,384PP_AQ_BP2,A18,Destination,A02,400.0
24,Source,384PP_AQ_BP2,A03,Destination,A03,10.0
25,Source,384PP_AQ_BP2,A04,Destination,A03,55.0
26,Source,384PP_AQ_BP2,A07,Destination,A03,32.5
27,Source,384PP_AQ_BP2,A09,Destination,A03,800.0
28,Source,384PP_AQ_BP2,A10,Destination,A03,267.5
29,Source,384PP_AQ_BP2,A11,Destination,A03,50.0
30,Source,384PP_AQ_BP2,A12,Destination,A03,700.0
31,Source,384PP_AQ_BP2,A13,Destination,A03,447.5
32,Source,384PP_AQ_BP2,A16,Destination,A03,202.5
33,Source,384PP_AQ_BP2,A17,Destination,A03,5.0
34,Source,384PP_AQ_BP2,A18,Destination,A03,1612.5
35,Source,384PP_AQ_BP2,A03,Destination,A04,10.0
36,Source,384PP_AQ_BP2,A04,Destination,A04,90.0
37,Source,384PP_AQ_BP2,A07,Destination,A04,40.0
38,Source,384PP_AQ_BP2,A09,Destination,A04,600.0
39,Source,384PP_AQ_BP2,A10,Destination,A04,242.5
40,Source,384PP_AQ_BP2,A11,Destination,A04,45.0
41,Source,384PP_AQ_BP2,A12,Destination,A04,175.0
42,Source,384PP_AQ_BP2,A13,Destination,A04,402.5
43,Source,384PP_AQ_BP2,A16,Destination,A04,112.5
44,Source,384PP_AQ_BP2,A17,Destination,A04,5.0
45,Source,384PP_AQ_BP2,A18,Destination,A04,2000.0
46,Source,384PP_AQ_BP2,A18,Destination,A04,465.0
47,Source,384PP_AQ_BP2,A03,Destination,A05,7.5
48,Source,384PP_AQ_BP2,A04,Destination,A05,100.0
49,Source,384PP_AQ_BP2,A07,Destination,A05,45.0
50,Source,384PP_AQ_BP2,A09,Destination,A05,600.0
51,Source,384PP_AQ_BP2,A10,Destination,A05,242.5
52,Source,384PP_AQ_BP2,A11,Destination,A05,27.5
53,Source,384PP_AQ_BP2,A12,Destination,A05,175.0
54,Source,384PP_AQ_BP2,A13,Destination,A05,357.5
55,Source,384PP_AQ_BP2,A16,Destination,A05,180.0
56,Source,384PP_AQ_BP2,A17,Destination,A05,5.0
57,Source,384PP_AQ_BP2,A18,Destination,A05,2000.0
58,Source,384PP_AQ_BP2,A18,Destination,A05,445.0
59,Source,384PP_AQ_BP2,A03,Destination,A06,10.0
60,Source,384PP_AQ_BP2,A04,Destination,A06,112.5
61,Source,384PP_AQ_BP2,A07,Destination,A06,40.0
62,Source,384PP_AQ_BP2,A09,Destination,A06,200.0
63,Source,384PP_AQ_BP2,A10,Destination,A06,187.5
64,Source,384PP_AQ_BP2,A11,Destination,A06,45.0
65,Source,384PP_AQ_BP2,A12,Destination,A06,350.0
66,Source,384PP_AQ_BP2,A13,Destination,A06,312.5
67,Source,384PP_AQ_BP2,A16,Destination,A06,135.0
68,Source,384PP_AQ_BP2,A17,Destination,A06,5.0
69,Source,384PP_AQ_BP2,A18,Destination,A06,2000.0
70,Source,384PP_AQ_BP2,A18,Destination,A06,2000.0
71,Source,384PP_AQ_BP2,A18,Destination,A06,577.5
72,Source,384PP_AQ_BP2,A03,Destination,A07,10.0
73,Source,384PP_AQ_BP2,A04,Destination,A07,112.5
74,Source,384PP_AQ_BP2,A07,Destination,A07,45.0
75,Source,384PP_AQ_BP2,A09,Destination,A07,400.0
76,Source,384PP_AQ_BP2,A10,Destination,A07,242.5
77,Source,384PP_AQ_BP2,A11,Destination,A07,55.0
78,Source,384PP_AQ_BP2,A12,Destination,A07,175.0
79,Source,384PP_AQ_BP2,A13,Destination,A07,267.5
80,Source,384PP_AQ_BP2,A16,Destination,A07,180.0
81,Source,384PP_AQ_BP2,A17,Destination,A07,5.0
82,Source,384PP_AQ_BP2,A18,Destination,A07,2000.0
83,Source,384PP_AQ_BP2,A18,Destination,A07,692.5
84,Source,384PP_AQ_BP2,A03,Destination,A08,10.0
85,Source,384PP_AQ_BP2,A04,Destination,A08,67.5
86,Source,384PP_AQ_BP2,A07,Destination,A08,27.5
87,Source,384PP_AQ_BP2,A09,Destination,A08,400.0
88,Source,384PP_AQ_BP2,A10,Destination,A08,215.0
89,Source,384PP_AQ_BP2,A11,Destination,A08,55.0
90,Source,384PP_AQ_BP2,A12,Destination,A08,700.0
91,Source,384PP_AQ_BP2,A13,Destination,A08,357.5
92,Source,384PP_AQ_BP2,A16,Destination,A08,157.5
93,Source,384PP_AQ_BP2,A17,Destination,A08,5.0
94,Source,384PP_AQ_BP2,A18,Destination,A08,2000.0
95,Source,384PP_AQ_BP2,A18,Destination,A08,190.0
96,Source,384PP_AQ_BP2,A03,Destination,A09,10.0
97,Source,384PP_AQ_BP2,A04,Destination,A09,90.0
98,Source,384PP_AQ_BP2,A07,Destination,A09,32.5
99,Source,384PP_AQ_BP2,A09,Destination,A09,800.0
100,Source,384PP_AQ_BP2,A10,Destination,A09,242.5
101,Source,384PP_AQ_BP2,A11,Destination,A09,40.0
102,Source,384PP_AQ_BP2,A12,Destination,A09,875.0
103,Source,384PP_AQ_BP2,A13,Destination,A09,312.5
104,Source,384PP_AQ_BP2,A16,Destination,A09,202.5
105,Source,384PP_AQ_BP2,A17,Destination,A09,5.0
106,Source,384PP_AQ_BP2,A18,Destination,A09,1577.5
107,Source,384PP_AQ_BP2,A03,Destination,A10,10.0
108,Source,384PP_AQ_BP2,A04,Destination,A10,77.5
109,Source,384PP_AQ_BP2,A07,Destination,A10,45.0
110,Source,384PP_AQ_BP2,A09,Destination,A10,800.0
111,Source,384PP_AQ_BP2,A10,Destination,A10,267.5
112,Source,384PP_AQ_BP2,A11,Destination,A10,40.0
113,Source,384PP_AQ_BP2,A12,Destination,A10,175.0
114,Source,384PP_AQ_BP2,A13,Destination,A10,402.5
115,Source,384PP_AQ_BP2,A16,Destination,A10,90.0
116,Source,384PP_AQ_BP2,A17,Destination,A10,5.0
117,Source,384PP_AQ_BP2,A18,Destination,A10,2000.0
118,Source,384PP_AQ_BP2,A18,Destination,A10,272.5
119,Source,384PP_AQ_BP2,A03,Destination,A11,7.5
120,Source,384PP_AQ_BP2,A04,Destination,A11,55.0
121,Source,384PP_AQ_BP2,A07,Destination,A11,50.0
122,Source,384PP_AQ_BP2,A09,Destination,A11,600.0
123,Source,384PP_AQ_BP2,A10,Destination,A11,242.5
124,Source,384PP_AQ_BP2,A11,Destination,A11,55.0
125,Source,384PP_AQ_BP2,A12,Destination,A11,175.0
126,Source,384PP_AQ_BP2,A13,Destination,A11,357.5
127,Source,384PP_AQ_BP2,A16,Destination,A11,157.5
128,Source,384PP_AQ_BP2,A17,Destination,A11,5.0
129,Source,384PP_AQ_BP2,A18,Destination,A11,2000.0
130,Source,384PP_AQ_BP2,A18,Destination,A11,480.0
131,Source,384PP_AQ_BP2,A03,Destination,A12,7.5
132,Source,384PP_AQ_BP2,A04,Destination,A12,45.0
133,Source,384PP_AQ_BP2,A09,Destination,A12,2000.0
134,Source,384PP_AQ_BP2,A10,Destination,A12,135.0
135,Source,384PP_AQ_BP2,A11,Destination,A12,5.0
136,Source,384PP_AQ_BP2,A12,Destination,A12,1750.0
137,Source,384PP_AQ_BP2,A13,Destination,A12,180.0
138,Source,384PP_AQ_BP2,A16,Destination,A12,67.5
139,Source,384PP_AQ_BP2,A17,Destination,A12,5.0
140,Source,384PP_AQ_BP2,A03,Destination,A13,7.5
141,Source,384PP_AQ_BP2,A04,Destination,A13,67.5
142,Source,384PP_AQ_BP2,A07,Destination,A13,27.5
143,Source,384PP_AQ_BP2,A09,Destination,A13,200.0
144,Source,384PP_AQ_BP2,A10,Destination,A13,107.5
145,Source,384PP_AQ_BP2,A11,Destination,A13,40.0
146,Source,384PP_AQ_BP2,A12,Destination,A13,350.0
147,Source,384PP_AQ_BP2,A13,Destination,A13,357.5
148,Source,384PP_AQ_BP2,A16,Destination,A13,45.0
149,Source,384PP_AQ_BP2,A17,Destination,A13,2.5
150,Source,384PP_AQ_BP2,A18,Destination,A13,2000.0
151,Source,384PP_AQ_BP2,A18,Destination,A13,982.5
152,Source,384PP_AQ_BP2,A03,Destination,A14,7.5
153,Source,384PP_AQ_BP2,A04,Destination,A14,67.5
154,Source,384PP_AQ_BP2,A07,Destination,A14,27.5
155,Source,384PP_AQ_BP2,A09,Destination,A14,200.0
156,Source,384PP_AQ_BP2,A10,Destination,A14,107.5
157,Source,384PP_AQ_BP2,A11,Destination,A14,40.0
