,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
0,Source,384PP_AQ_BP2,B12,Destination,A01,350
8,Source,384PP_AQ_BP2,B12,Destination,A10,175
9,Source,384PP_AQ_BP2,B12,Destination,A11,175
10,Source,384PP_AQ_BP2,B12,Destination,A12,1750
11,Source,384PP_AQ_BP2,B12,Destination,A13,350
12,Source,384PP_AQ_BP2,B12,Destination,A14,350
13,Source,384PP_AQ_BP2,B12,Destination,A16,175
14,Source,384PP_AQ_BP2,B12,Destination,A17,875
15,Source,384PP_AQ_BP2,B12,Destination,A20,175
16,Source,384PP_AQ_BP2,B12,Destination,A21,1050
17,Source,384PP_AQ_BP2,B12,Destination,A22,875
18,Source,384PP_AQ_BP2,B12,Destination,A23,175
19,Source,384PP_AQ_BP2,B12,Destination,B18,175
20,Source,384PP_AQ_BP2,B12,Destination,B17,700
21,Source,384PP_AQ_BP2,B12,Destination,B15,350
22,Source,384PP_AQ_BP2,B12,Destination,B13,1750
23,Source,384PP_AQ_BP2,B12,Destination,B11,175
24,Source,384PP_AQ_BP2,B12,Destination,B09,1050
25,Source,384PP_AQ_BP2,B12,Destination,B08,700
26,Source,384PP_AQ_BP2,B12,Destination,B06,875
27,Source,384PP_AQ_BP2,B12,Destination,B04,175
28,Source,384PP_AQ_BP2,B12,Destination,B01,350
29,Source,384PP_AQ_BP2,B12,Destination,C02,1050
30,Source,384PP_AQ_BP2,B12,Destination,C03,175
31,Source,384PP_AQ_BP2,B12,Destination,C04,350
32,Source,384PP_AQ_BP2,B12,Destination,C05,350
33,Source,384PP_AQ_BP2,B12,Destination,C07,175
34,Source,384PP_AQ_BP2,B12,Destination,C08,700
35,Source,384PP_AQ_BP2,B12,Destination,C09,175
36,Source,384PP_AQ_BP2,B12,Destination,C11,700
37,Source,384PP_AQ_BP2,B12,Destination,C12,175
38,Source,384PP_AQ_BP2,B12,Destination,C13,175
39,Source,384PP_AQ_BP2,B12,Destination,C17,700
40,Source,384PP_AQ_BP2,B12,Destination,C20,175
41,Source,384PP_AQ_BP2,B12,Destination,C23,175
42,Source,384PP_AQ_BP2,B12,Destination,C24,175
43,Source,384PP_AQ_BP2,B12,Destination,D16,700
44,Source,384PP_AQ_BP2,B12,Destination,D14,350
45,Source,384PP_AQ_BP2,B12,Destination,D12,350
46,Source,384PP_AQ_BP2,B12,Destination,D10,175
47,Source,384PP_AQ_BP2,B12,Destination,D07,350
48,Source,384PP_AQ_BP2,B12,Destination,D05,175
49,Source,384PP_AQ_BP2,B12,Destination,D03,175
50,Source,384PP_AQ_BP2,B12,Destination,D02,175
51,Source,384PP_AQ_BP2,B12,Destination,E04,175
52,Source,384PP_AQ_BP2,B12,Destination,E07,350
53,Source,384PP_AQ_BP2,B12,Destination,E09,525
54,Source,384PP_AQ_BP2,B12,Destination,E10,175
55,Source,384PP_AQ_BP2,B12,Destination,E12,175
56,Source,384PP_AQ_BP2,B12,Destination,E21,175
57,Source,384PP_AQ_BP2,B12,Destination,E23,175
58,Source,384PP_AQ_BP2,B12,Destination,E24,350
59,Source,384PP_AQ_BP2,B12,Destination,F24,175
60,Source,384PP_AQ_BP2,B12,Destination,F22,350
61,Source,384PP_AQ_BP2,B12,Destination,F16,175
62,Source,384PP_AQ_BP2,B12,Destination,F14,175
63,Source,384PP_AQ_BP2,B12,Destination,F12,175
64,Source,384PP_AQ_BP2,B12,Destination,F10,175
65,Source,384PP_AQ_BP2,B12,Destination,F03,350
66,Source,384PP_AQ_BP2,B12,Destination,F01,1050
67,Source,384PP_AQ_BP2,B12,Destination,G02,525
