parent_plate,parent_well_index,parent_well,solution_id,replicate,plate_control,plate_blank,strain,environment,plate_name
Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,1,A1,expt93_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b
Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,2,A2,expt22_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b
Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,3,A3,expt19_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b
Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,4,A4,expt21_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b
Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,5,A5,expt13_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b
Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,6,A6,expt58_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b
Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,7,A7,plate_blank,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b
Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,8,A8,expt81_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b
Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,9,A9,expt86_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b
Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,10,A10,expt97_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b
Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,11,A11,expt67_pH::5,1,False,False,P_putida_AG5577,pH5,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b
