,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
0,Source,384PP_AQ_BP2,A03,Destination,A01,5.0
1,Source,384PP_AQ_BP2,A04,Destination,A01,77.5
2,Source,384PP_AQ_BP2,A07,Destination,A01,50.0
3,Source,384PP_AQ_BP2,A09,Destination,A01,400.0
4,Source,384PP_AQ_BP2,A10,Destination,A01,187.5
5,Source,384PP_AQ_BP2,A11,Destination,A01,55.0
6,Source,384PP_AQ_BP2,A12,Destination,A01,875.0
7,Source,384PP_AQ_BP2,A13,Destination,A01,357.5
8,Source,384PP_AQ_BP2,A16,Destination,A01,225.0
9,Source,384PP_AQ_BP2,A17,Destination,A01,2.5
10,Source,384PP_AQ_BP2,A18,Destination,A01,2000.0
11,Source,384PP_AQ_BP2,A18,Destination,A01,1787.5
12,Source,384PP_AQ_BP2,A03,Destination,A02,10.0
13,Source,384PP_AQ_BP2,A04,Destination,A02,67.5
14,Source,384PP_AQ_BP2,A05,Destination,A02,1120.0
15,Source,384PP_AQ_BP2,A07,Destination,A02,50.0
16,Source,384PP_AQ_BP2,A08,Destination,A02,560.0
17,Source,384PP_AQ_BP2,A10,Destination,A02,215.0
18,Source,384PP_AQ_BP2,A11,Destination,A02,40.0
19,Source,384PP_AQ_BP2,A13,Destination,A02,402.5
20,Source,384PP_AQ_BP2,A15,Destination,A02,112.5
21,Source,384PP_AQ_BP2,A16,Destination,A02,300.0
22,Source,384PP_AQ_BP2,A17,Destination,A02,5.0
23,Source,384PP_AQ_BP2,A18,Destination,A02,2000.0
24,Source,384PP_AQ_BP2,A18,Destination,A02,1145.0
25,Source,384PP_AQ_BP2,A03,Destination,A03,7.5
26,Source,384PP_AQ_BP2,A04,Destination,A03,90.0
27,Source,384PP_AQ_BP2,A05,Destination,A03,1120.0
28,Source,384PP_AQ_BP2,A07,Destination,A03,45.0
29,Source,384PP_AQ_BP2,A08,Destination,A03,560.0
30,Source,384PP_AQ_BP2,A09,Destination,A03,400.0
31,Source,384PP_AQ_BP2,A10,Destination,A03,242.5
32,Source,384PP_AQ_BP2,A11,Destination,A03,45.0
33,Source,384PP_AQ_BP2,A12,Destination,A03,350.0
34,Source,384PP_AQ_BP2,A13,Destination,A03,357.5
35,Source,384PP_AQ_BP2,A15,Destination,A03,112.5
36,Source,384PP_AQ_BP2,A16,Destination,A03,335.0
37,Source,384PP_AQ_BP2,A17,Destination,A03,5.0
38,Source,384PP_AQ_BP2,A18,Destination,A03,2000.0
39,Source,384PP_AQ_BP2,A18,Destination,A03,355.0
40,Source,384PP_AQ_BP2,A03,Destination,A04,10.0
41,Source,384PP_AQ_BP2,A04,Destination,A04,112.5
42,Source,384PP_AQ_BP2,A05,Destination,A04,1120.0
43,Source,384PP_AQ_BP2,A07,Destination,A04,45.0
44,Source,384PP_AQ_BP2,A08,Destination,A04,560.0
45,Source,384PP_AQ_BP2,A09,Destination,A04,400.0
46,Source,384PP_AQ_BP2,A10,Destination,A04,242.5
47,Source,384PP_AQ_BP2,A11,Destination,A04,55.0
48,Source,384PP_AQ_BP2,A12,Destination,A04,175.0
49,Source,384PP_AQ_BP2,A13,Destination,A04,270.0
50,Source,384PP_AQ_BP2,A15,Destination,A04,112.5
51,Source,384PP_AQ_BP2,A16,Destination,A04,300.0
52,Source,384PP_AQ_BP2,A17,Destination,A04,5.0
53,Source,384PP_AQ_BP2,A18,Destination,A04,2000.0
54,Source,384PP_AQ_BP2,A18,Destination,A04,620.0
55,Source,384PP_AQ_BP2,A03,Destination,A05,10.0
56,Source,384PP_AQ_BP2,A04,Destination,A05,67.5
57,Source,384PP_AQ_BP2,A05,Destination,A05,1120.0
58,Source,384PP_AQ_BP2,A07,Destination,A05,32.5
59,Source,384PP_AQ_BP2,A08,Destination,A05,560.0
60,Source,384PP_AQ_BP2,A09,Destination,A05,800.0
61,Source,384PP_AQ_BP2,A10,Destination,A05,270.0
62,Source,384PP_AQ_BP2,A11,Destination,A05,50.0
63,Source,384PP_AQ_BP2,A12,Destination,A05,700.0
64,Source,384PP_AQ_BP2,A13,Destination,A05,447.5
65,Source,384PP_AQ_BP2,A15,Destination,A05,112.5
66,Source,384PP_AQ_BP2,A16,Destination,A05,335.0
67,Source,384PP_AQ_BP2,A17,Destination,A05,5.0
68,Source,384PP_AQ_BP2,A18,Destination,A05,1512.5
69,Source,384PP_AQ_BP2,A03,Destination,A06,7.5
70,Source,384PP_AQ_BP2,A04,Destination,A06,45.0
71,Source,384PP_AQ_BP2,A05,Destination,A06,1120.0
72,Source,384PP_AQ_BP2,A08,Destination,A06,560.0
73,Source,384PP_AQ_BP2,A09,Destination,A06,2000.0
74,Source,384PP_AQ_BP2,A10,Destination,A06,135.0
75,Source,384PP_AQ_BP2,A11,Destination,A06,5.0
76,Source,384PP_AQ_BP2,A12,Destination,A06,1750.0
77,Source,384PP_AQ_BP2,A13,Destination,A06,180.0
