,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
0,Source,384PP_AQ_BP2,A05,Destination,A02,1120.0
1,Source,384PP_AQ_BP2,A08,Destination,A02,560.0
2,Source,384PP_AQ_BP2,A15,Destination,A02,112.5
3,Source,384PP_AQ_BP2,A05,Destination,A03,1120.0
4,Source,384PP_AQ_BP2,A08,Destination,A03,560.0
5,Source,384PP_AQ_BP2,A15,Destination,A03,112.5
6,Source,384PP_AQ_BP2,A05,Destination,A04,1120.0
7,Source,384PP_AQ_BP2,A08,Destination,A04,560.0
8,Source,384PP_AQ_BP2,A15,Destination,A04,112.5
9,Source,384PP_AQ_BP2,A05,Destination,A05,1120.0
10,Source,384PP_AQ_BP2,A08,Destination,A05,560.0
11,Source,384PP_AQ_BP2,A15,Destination,A05,112.5
12,Source,384PP_AQ_BP2,A05,Destination,A06,1120.0
13,Source,384PP_AQ_BP2,A08,Destination,A06,560.0
14,Source,384PP_AQ_BP2,A15,Destination,A06,112.5
15,Source,384PP_AQ_BP2,A05,Destination,A08,1120.0
16,Source,384PP_AQ_BP2,A08,Destination,A08,560.0
17,Source,384PP_AQ_BP2,A15,Destination,A08,112.5
18,Source,384PP_AQ_BP2,A05,Destination,A09,1120.0
19,Source,384PP_AQ_BP2,A08,Destination,A09,560.0
20,Source,384PP_AQ_BP2,A15,Destination,A09,112.5
21,Source,384PP_AQ_BP2,A05,Destination,A10,1120.0
22,Source,384PP_AQ_BP2,A08,Destination,A10,560.0
23,Source,384PP_AQ_BP2,A15,Destination,A10,112.5
24,Source,384PP_AQ_BP2,A05,Destination,A12,1120.0
25,Source,384PP_AQ_BP2,A08,Destination,A12,560.0
26,Source,384PP_AQ_BP2,A15,Destination,A12,112.5
27,Source,384PP_AQ_BP2,A05,Destination,A13,1120.0
28,Source,384PP_AQ_BP2,A08,Destination,A13,560.0
29,Source,384PP_AQ_BP2,A15,Destination,A13,112.5
30,Source,384PP_AQ_BP2,A05,Destination,A14,1120.0
31,Source,384PP_AQ_BP2,A08,Destination,A14,560.0
32,Source,384PP_AQ_BP2,A15,Destination,A14,112.5
33,Source,384PP_AQ_BP2,A05,Destination,A16,1120.0
34,Source,384PP_AQ_BP2,A08,Destination,A16,560.0
35,Source,384PP_AQ_BP2,A15,Destination,A16,112.5
36,Source,384PP_AQ_BP2,A05,Destination,A21,1120.0
37,Source,384PP_AQ_BP2,A08,Destination,A21,560.0
38,Source,384PP_AQ_BP2,A15,Destination,A21,112.5
39,Source,384PP_AQ_BP2,A05,Destination,A22,1120.0
40,Source,384PP_AQ_BP2,A08,Destination,A22,560.0
41,Source,384PP_AQ_BP2,A15,Destination,A22,112.5
42,Source,384PP_AQ_BP2,A05,Destination,A24,1120.0
43,Source,384PP_AQ_BP2,A08,Destination,A24,560.0
44,Source,384PP_AQ_BP2,A15,Destination,A24,112.5
45,Source,384PP_AQ_BP2,A05,Destination,B19,1120.0
46,Source,384PP_AQ_BP2,A08,Destination,B19,560.0
47,Source,384PP_AQ_BP2,A15,Destination,B19,112.5
48,Source,384PP_AQ_BP2,A05,Destination,B18,1120.0
49,Source,384PP_AQ_BP2,A08,Destination,B18,560.0
50,Source,384PP_AQ_BP2,A15,Destination,B18,112.5
51,Source,384PP_AQ_BP2,A05,Destination,B17,1120.0
52,Source,384PP_AQ_BP2,A08,Destination,B17,560.0
53,Source,384PP_AQ_BP2,A15,Destination,B17,112.5
54,Source,384PP_AQ_BP2,A05,Destination,B16,1120.0
55,Source,384PP_AQ_BP2,A08,Destination,B16,560.0
56,Source,384PP_AQ_BP2,A15,Destination,B16,112.5
57,Source,384PP_AQ_BP2,A05,Destination,B14,1120.0
58,Source,384PP_AQ_BP2,A08,Destination,B14,560.0
59,Source,384PP_AQ_BP2,A15,Destination,B14,112.5
60,Source,384PP_AQ_BP2,A05,Destination,B13,1120.0
61,Source,384PP_AQ_BP2,A08,Destination,B13,560.0
62,Source,384PP_AQ_BP2,A15,Destination,B13,112.5
63,Source,384PP_AQ_BP2,A05,Destination,B12,1120.0
64,Source,384PP_AQ_BP2,A08,Destination,B12,560.0
65,Source,384PP_AQ_BP2,A15,Destination,B12,112.5
66,Source,384PP_AQ_BP2,A05,Destination,B11,1120.0
67,Source,384PP_AQ_BP2,A08,Destination,B11,560.0
68,Source,384PP_AQ_BP2,A15,Destination,B11,112.5
69,Source,384PP_AQ_BP2,A05,Destination,B10,1120.0
70,Source,384PP_AQ_BP2,A08,Destination,B10,560.0
71,Source,384PP_AQ_BP2,A15,Destination,B10,112.5
72,Source,384PP_AQ_BP2,A05,Destination,B05,1120.0
73,Source,384PP_AQ_BP2,A08,Destination,B05,560.0
74,Source,384PP_AQ_BP2,A15,Destination,B05,112.5
75,Source,384PP_AQ_BP2,A05,Destination,B03,1120.0
76,Source,384PP_AQ_BP2,A08,Destination,B03,560.0
77,Source,384PP_AQ_BP2,A15,Destination,B03,112.5
78,Source,384PP_AQ_BP2,A05,Destination,C01,1120.0
79,Source,384PP_AQ_BP2,A08,Destination,C01,560.0
80,Source,384PP_AQ_BP2,A15,Destination,C01,112.5
81,Source,384PP_AQ_BP2,A05,Destination,C03,1120.0
82,Source,384PP_AQ_BP2,A08,Destination,C03,560.0
83,Source,384PP_AQ_BP2,A15,Destination,C03,112.5
84,Source,384PP_AQ_BP2,A05,Destination,C04,1120.0
85,Source,384PP_AQ_BP2,A08,Destination,C04,560.0
86,Source,384PP_AQ_BP2,A15,Destination,C04,112.5
87,Source,384PP_AQ_BP2,A05,Destination,C05,1120.0
88,Source,384PP_AQ_BP2,A08,Destination,C05,560.0
89,Source,384PP_AQ_BP2,A15,Destination,C05,112.5
90,Source,384PP_AQ_BP2,A05,Destination,C07,1120.0
91,Source,384PP_AQ_BP2,A08,Destination,C07,560.0
92,Source,384PP_AQ_BP2,A15,Destination,C07,112.5
93,Source,384PP_AQ_BP2,A06,Destination,C08,1120.0
94,Source,384PP_AQ_BP2,A08,Destination,C08,560.0
