,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
0,Source,384PP_AQ_BP2,A01,Destination,A01,60.0
1,Source,384PP_AQ_BP2,A01,Destination,A02,60.0
2,Source,384PP_AQ_BP2,A01,Destination,A03,60.0
3,Source,384PP_AQ_BP2,A01,Destination,A04,60.0
4,Source,384PP_AQ_BP2,A01,Destination,A05,60.0
5,Source,384PP_AQ_BP2,A01,Destination,A06,60.0
6,Source,384PP_AQ_BP2,A01,Destination,A07,60.0
7,Source,384PP_AQ_BP2,A01,Destination,A08,60.0
8,Source,384PP_AQ_BP2,A01,Destination,A09,60.0
9,Source,384PP_AQ_BP2,A01,Destination,A10,60.0
10,Source,384PP_AQ_BP2,A01,Destination,A11,60.0
11,Source,384PP_AQ_BP2,A01,Destination,A12,60.0
12,Source,384PP_AQ_BP2,A01,Destination,A13,60.0
13,Source,384PP_AQ_BP2,A01,Destination,A14,60.0
14,Source,384PP_AQ_BP2,A01,Destination,A15,60.0
15,Source,384PP_AQ_BP2,A01,Destination,A16,60.0
16,Source,384PP_AQ_BP2,A01,Destination,A17,60.0
17,Source,384PP_AQ_BP2,A01,Destination,A18,60.0
18,Source,384PP_AQ_BP2,A01,Destination,A19,60.0
19,Source,384PP_AQ_BP2,A01,Destination,A20,60.0
20,Source,384PP_AQ_BP2,A01,Destination,A21,60.0
21,Source,384PP_AQ_BP2,A01,Destination,A22,60.0
22,Source,384PP_AQ_BP2,A01,Destination,A23,60.0
23,Source,384PP_AQ_BP2,A01,Destination,A24,60.0
24,Source,384PP_AQ_BP2,A01,Destination,B19,60.0
25,Source,384PP_AQ_BP2,A01,Destination,B18,60.0
26,Source,384PP_AQ_BP2,A01,Destination,B17,60.0
27,Source,384PP_AQ_BP2,A01,Destination,B16,60.0
28,Source,384PP_AQ_BP2,A01,Destination,B15,60.0
29,Source,384PP_AQ_BP2,A01,Destination,B14,60.0
30,Source,384PP_AQ_BP2,A01,Destination,B13,60.0
31,Source,384PP_AQ_BP2,A01,Destination,B12,60.0
32,Source,384PP_AQ_BP2,A01,Destination,B11,60.0
33,Source,384PP_AQ_BP2,A01,Destination,B10,60.0
34,Source,384PP_AQ_BP2,A01,Destination,B09,60.0
35,Source,384PP_AQ_BP2,A01,Destination,B08,60.0
36,Source,384PP_AQ_BP2,A01,Destination,B07,60.0
37,Source,384PP_AQ_BP2,A01,Destination,B06,60.0
38,Source,384PP_AQ_BP2,A01,Destination,B05,60.0
39,Source,384PP_AQ_BP2,A01,Destination,B04,60.0
40,Source,384PP_AQ_BP2,A01,Destination,B03,60.0
41,Source,384PP_AQ_BP2,A01,Destination,B02,60.0
42,Source,384PP_AQ_BP2,A01,Destination,B01,60.0
43,Source,384PP_AQ_BP2,A01,Destination,C01,60.0
44,Source,384PP_AQ_BP2,A01,Destination,C02,60.0
45,Source,384PP_AQ_BP2,A01,Destination,C03,60.0
46,Source,384PP_AQ_BP2,A01,Destination,C04,60.0
47,Source,384PP_AQ_BP2,A01,Destination,C05,60.0
48,Source,384PP_AQ_BP2,A01,Destination,C06,60.0
49,Source,384PP_AQ_BP2,A01,Destination,C07,60.0
50,Source,384PP_AQ_BP2,A01,Destination,C08,60.0
51,Source,384PP_AQ_BP2,A01,Destination,C09,60.0
52,Source,384PP_AQ_BP2,A01,Destination,C10,60.0
53,Source,384PP_AQ_BP2,A01,Destination,C11,60.0
54,Source,384PP_AQ_BP2,A01,Destination,C12,60.0
55,Source,384PP_AQ_BP2,A01,Destination,C13,60.0
56,Source,384PP_AQ_BP2,A01,Destination,C14,60.0
