,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
0,Source,384PP_AQ_BP2,A03,Destination,A01,27.5
1,Source,384PP_AQ_BP2,A04,Destination,A01,277.5
2,Source,384PP_AQ_BP2,A22,Destination,A01,2000.0
3,Source,384PP_AQ_BP2,A22,Destination,A01,2000.0
4,Source,384PP_AQ_BP2,A22,Destination,A01,960.0
5,Source,384PP_AQ_BP2,A22,Destination,A02,2000.0
6,Source,384PP_AQ_BP2,A22,Destination,A02,2000.0
7,Source,384PP_AQ_BP2,A22,Destination,A02,1265.0
8,Source,384PP_AQ_BP2,A03,Destination,A03,5.0
9,Source,384PP_AQ_BP2,A04,Destination,A03,55.0
10,Source,384PP_AQ_BP2,A05,Destination,A03,1105.0
11,Source,384PP_AQ_BP2,A10,Destination,A03,552.5
12,Source,384PP_AQ_BP2,A12,Destination,A03,790.0
13,Source,384PP_AQ_BP2,A14,Destination,A03,132.5
14,Source,384PP_AQ_BP2,A15,Destination,A03,27.5
15,Source,384PP_AQ_BP2,A16,Destination,A03,1727.5
16,Source,384PP_AQ_BP2,A18,Destination,A03,397.5
17,Source,384PP_AQ_BP2,A19,Destination,A03,110.0
18,Source,384PP_AQ_BP2,A20,Destination,A03,185.0
19,Source,384PP_AQ_BP2,A21,Destination,A03,2.5
20,Source,384PP_AQ_BP2,A22,Destination,A03,172.5
21,Source,384PP_AQ_BP2,A03,Destination,A04,5.0
22,Source,384PP_AQ_BP2,A04,Destination,A04,67.5
23,Source,384PP_AQ_BP2,A05,Destination,A04,1105.0
24,Source,384PP_AQ_BP2,A09,Destination,A04,37.5
25,Source,384PP_AQ_BP2,A10,Destination,A04,552.5
26,Source,384PP_AQ_BP2,A12,Destination,A04,1382.5
27,Source,384PP_AQ_BP2,A14,Destination,A04,185.0
28,Source,384PP_AQ_BP2,A15,Destination,A04,45.0
29,Source,384PP_AQ_BP2,A16,Destination,A04,690.0
30,Source,384PP_AQ_BP2,A18,Destination,A04,132.5
31,Source,384PP_AQ_BP2,A19,Destination,A04,110.0
32,Source,384PP_AQ_BP2,A20,Destination,A04,185.0
33,Source,384PP_AQ_BP2,A21,Destination,A04,5.0
34,Source,384PP_AQ_BP2,A22,Destination,A04,760.0
35,Source,384PP_AQ_BP2,A03,Destination,A05,5.0
36,Source,384PP_AQ_BP2,A04,Destination,A05,67.5
37,Source,384PP_AQ_BP2,A05,Destination,A05,1105.0
38,Source,384PP_AQ_BP2,A09,Destination,A05,27.5
39,Source,384PP_AQ_BP2,A10,Destination,A05,552.5
40,Source,384PP_AQ_BP2,A12,Destination,A05,1777.5
41,Source,384PP_AQ_BP2,A14,Destination,A05,160.0
42,Source,384PP_AQ_BP2,A15,Destination,A05,32.5
43,Source,384PP_AQ_BP2,A16,Destination,A05,862.5
44,Source,384PP_AQ_BP2,A18,Destination,A05,177.5
45,Source,384PP_AQ_BP2,A19,Destination,A05,110.0
46,Source,384PP_AQ_BP2,A20,Destination,A05,220.0
47,Source,384PP_AQ_BP2,A21,Destination,A05,2.5
48,Source,384PP_AQ_BP2,A22,Destination,A05,162.5
49,Source,384PP_AQ_BP2,A22,Destination,A06,2000.0
50,Source,384PP_AQ_BP2,A22,Destination,A06,2000.0
51,Source,384PP_AQ_BP2,A22,Destination,A06,1265.0
52,Source,384PP_AQ_BP2,A03,Destination,A07,2.5
53,Source,384PP_AQ_BP2,A04,Destination,A07,10.0
54,Source,384PP_AQ_BP2,A05,Destination,A07,1105.0
55,Source,384PP_AQ_BP2,A10,Destination,A07,552.5
56,Source,384PP_AQ_BP2,A12,Destination,A07,1777.5
57,Source,384PP_AQ_BP2,A14,Destination,A07,27.5
58,Source,384PP_AQ_BP2,A15,Destination,A07,17.5
59,Source,384PP_AQ_BP2,A16,Destination,A07,1382.5
60,Source,384PP_AQ_BP2,A18,Destination,A07,177.5
61,Source,384PP_AQ_BP2,A19,Destination,A07,110.0
62,Source,384PP_AQ_BP2,A20,Destination,A07,147.5
63,Source,384PP_AQ_BP2,A03,Destination,A08,27.5
64,Source,384PP_AQ_BP2,A04,Destination,A08,277.5
65,Source,384PP_AQ_BP2,A05,Destination,A08,1105.0
66,Source,384PP_AQ_BP2,A10,Destination,A08,552.5
67,Source,384PP_AQ_BP2,A19,Destination,A08,110.0
68,Source,384PP_AQ_BP2,A22,Destination,A08,2000.0
69,Source,384PP_AQ_BP2,A22,Destination,A08,1192.5
70,Source,384PP_AQ_BP2,A03,Destination,A09,2.5
71,Source,384PP_AQ_BP2,A04,Destination,A09,77.5
72,Source,384PP_AQ_BP2,A05,Destination,A09,1105.0
73,Source,384PP_AQ_BP2,A09,Destination,A09,45.0
