,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
0,Source,384PP_AQ_BP2,A05,Destination,A03,1105.0
1,Source,384PP_AQ_BP2,A10,Destination,A03,552.5
2,Source,384PP_AQ_BP2,A19,Destination,A03,110.0
3,Source,384PP_AQ_BP2,A05,Destination,A04,1105.0
4,Source,384PP_AQ_BP2,A10,Destination,A04,552.5
5,Source,384PP_AQ_BP2,A19,Destination,A04,110.0
6,Source,384PP_AQ_BP2,A05,Destination,A05,1105.0
7,Source,384PP_AQ_BP2,A10,Destination,A05,552.5
8,Source,384PP_AQ_BP2,A19,Destination,A05,110.0
9,Source,384PP_AQ_BP2,A05,Destination,A07,1105.0
10,Source,384PP_AQ_BP2,A10,Destination,A07,552.5
11,Source,384PP_AQ_BP2,A19,Destination,A07,110.0
12,Source,384PP_AQ_BP2,A05,Destination,A08,1105.0
13,Source,384PP_AQ_BP2,A10,Destination,A08,552.5
14,Source,384PP_AQ_BP2,A19,Destination,A08,110.0
15,Source,384PP_AQ_BP2,A05,Destination,A09,1105.0
16,Source,384PP_AQ_BP2,A10,Destination,A09,552.5
17,Source,384PP_AQ_BP2,A19,Destination,A09,110.0
18,Source,384PP_AQ_BP2,A05,Destination,A10,1105.0
19,Source,384PP_AQ_BP2,A10,Destination,A10,552.5
20,Source,384PP_AQ_BP2,A19,Destination,A10,110.0
21,Source,384PP_AQ_BP2,A05,Destination,A11,1105.0
22,Source,384PP_AQ_BP2,A10,Destination,A11,552.5
23,Source,384PP_AQ_BP2,A19,Destination,A11,110.0
24,Source,384PP_AQ_BP2,A05,Destination,A14,1105.0
25,Source,384PP_AQ_BP2,A10,Destination,A14,552.5
26,Source,384PP_AQ_BP2,A19,Destination,A14,110.0
27,Source,384PP_AQ_BP2,A05,Destination,A15,1105.0
28,Source,384PP_AQ_BP2,A10,Destination,A15,552.5
29,Source,384PP_AQ_BP2,A19,Destination,A15,110.0
30,Source,384PP_AQ_BP2,A05,Destination,A16,1105.0
31,Source,384PP_AQ_BP2,A10,Destination,A16,552.5
32,Source,384PP_AQ_BP2,A19,Destination,A16,110.0
33,Source,384PP_AQ_BP2,A05,Destination,A18,1105.0
34,Source,384PP_AQ_BP2,A10,Destination,A18,552.5
35,Source,384PP_AQ_BP2,A19,Destination,A18,110.0
36,Source,384PP_AQ_BP2,A05,Destination,A20,1105.0
37,Source,384PP_AQ_BP2,A10,Destination,A20,552.5
38,Source,384PP_AQ_BP2,A19,Destination,A20,110.0
39,Source,384PP_AQ_BP2,A05,Destination,A21,1105.0
40,Source,384PP_AQ_BP2,A10,Destination,A21,552.5
41,Source,384PP_AQ_BP2,A19,Destination,A21,110.0
42,Source,384PP_AQ_BP2,A05,Destination,A23,1105.0
43,Source,384PP_AQ_BP2,A10,Destination,A23,552.5
44,Source,384PP_AQ_BP2,A19,Destination,A23,110.0
45,Source,384PP_AQ_BP2,A05,Destination,B11,1105.0
46,Source,384PP_AQ_BP2,A10,Destination,B11,552.5
47,Source,384PP_AQ_BP2,A19,Destination,B11,110.0
48,Source,384PP_AQ_BP2,A05,Destination,B10,1105.0
49,Source,384PP_AQ_BP2,A10,Destination,B10,552.5
50,Source,384PP_AQ_BP2,A19,Destination,B10,110.0
51,Source,384PP_AQ_BP2,A05,Destination,B06,1105.0
52,Source,384PP_AQ_BP2,A10,Destination,B06,552.5
53,Source,384PP_AQ_BP2,A19,Destination,B06,110.0
54,Source,384PP_AQ_BP2,A05,Destination,B05,1105.0
55,Source,384PP_AQ_BP2,A10,Destination,B05,552.5
56,Source,384PP_AQ_BP2,A19,Destination,B05,110.0
57,Source,384PP_AQ_BP2,A05,Destination,B04,1105.0
58,Source,384PP_AQ_BP2,A10,Destination,B04,552.5
59,Source,384PP_AQ_BP2,A19,Destination,B04,110.0
60,Source,384PP_AQ_BP2,A05,Destination,B03,1105.0
61,Source,384PP_AQ_BP2,A10,Destination,B03,552.5
62,Source,384PP_AQ_BP2,A19,Destination,B03,110.0
63,Source,384PP_AQ_BP2,A05,Destination,B02,1105.0
64,Source,384PP_AQ_BP2,A10,Destination,B02,552.5
65,Source,384PP_AQ_BP2,A19,Destination,B02,110.0
66,Source,384PP_AQ_BP2,A05,Destination,B01,1105.0
67,Source,384PP_AQ_BP2,A10,Destination,B01,552.5
