,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
0,Source,384PP_AQ_BP2,A03,Destination,A01,27.5
1,Source,384PP_AQ_BP2,A04,Destination,A01,277.5
2,Source,384PP_AQ_BP2,A22,Destination,A01,2000.0
3,Source,384PP_AQ_BP2,A22,Destination,A01,2000.0
4,Source,384PP_AQ_BP2,A22,Destination,A01,960.0
5,Source,384PP_AQ_BP2,A22,Destination,A02,2000.0
6,Source,384PP_AQ_BP2,A22,Destination,A02,2000.0
7,Source,384PP_AQ_BP2,A22,Destination,A02,1265.0
8,Source,384PP_AQ_BP2,A03,Destination,A03,5.0
9,Source,384PP_AQ_BP2,A04,Destination,A03,55.0
10,Source,384PP_AQ_BP2,A12,Destination,A03,790.0
11,Source,384PP_AQ_BP2,A14,Destination,A03,132.5
12,Source,384PP_AQ_BP2,A15,Destination,A03,27.5
13,Source,384PP_AQ_BP2,A16,Destination,A03,1727.5
14,Source,384PP_AQ_BP2,A18,Destination,A03,397.5
15,Source,384PP_AQ_BP2,A20,Destination,A03,185.0
16,Source,384PP_AQ_BP2,A21,Destination,A03,2.5
17,Source,384PP_AQ_BP2,A22,Destination,A03,172.5
18,Source,384PP_AQ_BP2,A03,Destination,A04,5.0
19,Source,384PP_AQ_BP2,A04,Destination,A04,67.5
20,Source,384PP_AQ_BP2,A09,Destination,A04,37.5
21,Source,384PP_AQ_BP2,A12,Destination,A04,1382.5
22,Source,384PP_AQ_BP2,A14,Destination,A04,185.0
23,Source,384PP_AQ_BP2,A15,Destination,A04,45.0
24,Source,384PP_AQ_BP2,A16,Destination,A04,690.0
25,Source,384PP_AQ_BP2,A18,Destination,A04,132.5
26,Source,384PP_AQ_BP2,A20,Destination,A04,185.0
27,Source,384PP_AQ_BP2,A21,Destination,A04,5.0
28,Source,384PP_AQ_BP2,A22,Destination,A04,760.0
29,Source,384PP_AQ_BP2,A03,Destination,A05,5.0
30,Source,384PP_AQ_BP2,A04,Destination,A05,67.5
31,Source,384PP_AQ_BP2,A09,Destination,A05,27.5
32,Source,384PP_AQ_BP2,A12,Destination,A05,1777.5
33,Source,384PP_AQ_BP2,A14,Destination,A05,160.0
34,Source,384PP_AQ_BP2,A15,Destination,A05,32.5
35,Source,384PP_AQ_BP2,A16,Destination,A05,862.5
36,Source,384PP_AQ_BP2,A18,Destination,A05,177.5
37,Source,384PP_AQ_BP2,A20,Destination,A05,220.0
38,Source,384PP_AQ_BP2,A21,Destination,A05,2.5
39,Source,384PP_AQ_BP2,A22,Destination,A05,162.5
40,Source,384PP_AQ_BP2,A22,Destination,A06,2000.0
41,Source,384PP_AQ_BP2,A22,Destination,A06,2000.0
42,Source,384PP_AQ_BP2,A22,Destination,A06,1265.0
43,Source,384PP_AQ_BP2,A03,Destination,A07,2.5
44,Source,384PP_AQ_BP2,A04,Destination,A07,10.0
45,Source,384PP_AQ_BP2,A12,Destination,A07,1777.5
46,Source,384PP_AQ_BP2,A14,Destination,A07,27.5
47,Source,384PP_AQ_BP2,A15,Destination,A07,17.5
48,Source,384PP_AQ_BP2,A16,Destination,A07,1382.5
49,Source,384PP_AQ_BP2,A18,Destination,A07,177.5
50,Source,384PP_AQ_BP2,A20,Destination,A07,147.5
51,Source,384PP_AQ_BP2,A03,Destination,A08,27.5
52,Source,384PP_AQ_BP2,A04,Destination,A08,277.5
53,Source,384PP_AQ_BP2,A22,Destination,A08,2000.0
54,Source,384PP_AQ_BP2,A22,Destination,A08,1192.5
55,Source,384PP_AQ_BP2,A03,Destination,A09,2.5
56,Source,384PP_AQ_BP2,A04,Destination,A09,77.5
57,Source,384PP_AQ_BP2,A09,Destination,A09,45.0
58,Source,384PP_AQ_BP2,A12,Destination,A09,987.5
59,Source,384PP_AQ_BP2,A14,Destination,A09,105.0
60,Source,384PP_AQ_BP2,A15,Destination,A09,22.5
61,Source,384PP_AQ_BP2,A16,Destination,A09,517.5
62,Source,384PP_AQ_BP2,A18,Destination,A09,352.5
63,Source,384PP_AQ_BP2,A20,Destination,A09,147.5
64,Source,384PP_AQ_BP2,A21,Destination,A09,5.0
65,Source,384PP_AQ_BP2,A22,Destination,A09,1232.5
66,Source,384PP_AQ_BP2,A03,Destination,A10,7.5
67,Source,384PP_AQ_BP2,A04,Destination,A10,87.5
68,Source,384PP_AQ_BP2,A09,Destination,A10,45.0
69,Source,384PP_AQ_BP2,A14,Destination,A10,237.5
70,Source,384PP_AQ_BP2,A15,Destination,A10,55.0
71,Source,384PP_AQ_BP2,A16,Destination,A10,517.5
72,Source,384PP_AQ_BP2,A18,Destination,A10,442.5
73,Source,384PP_AQ_BP2,A20,Destination,A10,332.5
