,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
0,Source,384PP_AQ_BP2,A03,Destination,A01,27.5
1,Source,384PP_AQ_BP2,A04,Destination,A01,270.0
2,Source,384PP_AQ_BP2,A20,Destination,A01,2000.0
3,Source,384PP_AQ_BP2,A20,Destination,A01,1947.5
4,Source,384PP_AQ_BP2,A03,Destination,A02,5.0
5,Source,384PP_AQ_BP2,A04,Destination,A02,55.0
6,Source,384PP_AQ_BP2,A05,Destination,A02,1085.0
7,Source,384PP_AQ_BP2,A08,Destination,A02,22.5
8,Source,384PP_AQ_BP2,A09,Destination,A02,542.5
9,Source,384PP_AQ_BP2,A11,Destination,A02,192.5
10,Source,384PP_AQ_BP2,A12,Destination,A02,227.5
11,Source,384PP_AQ_BP2,A13,Destination,A02,22.5
12,Source,384PP_AQ_BP2,A14,Destination,A02,507.5
13,Source,384PP_AQ_BP2,A16,Destination,A02,172.5
14,Source,384PP_AQ_BP2,A17,Destination,A02,107.5
15,Source,384PP_AQ_BP2,A20,Destination,A02,1302.5
16,Source,384PP_AQ_BP2,A03,Destination,A03,7.5
17,Source,384PP_AQ_BP2,A04,Destination,A03,55.0
18,Source,384PP_AQ_BP2,A05,Destination,A03,1085.0
19,Source,384PP_AQ_BP2,A08,Destination,A03,42.5
20,Source,384PP_AQ_BP2,A09,Destination,A03,542.5
21,Source,384PP_AQ_BP2,A11,Destination,A03,192.5
22,Source,384PP_AQ_BP2,A12,Destination,A03,227.5
23,Source,384PP_AQ_BP2,A13,Destination,A03,50.0
24,Source,384PP_AQ_BP2,A14,Destination,A03,1017.5
25,Source,384PP_AQ_BP2,A16,Destination,A03,217.5
26,Source,384PP_AQ_BP2,A17,Destination,A03,107.5
27,Source,384PP_AQ_BP2,A18,Destination,A03,290.0
28,Source,384PP_AQ_BP2,A19,Destination,A03,5.0
29,Source,384PP_AQ_BP2,A20,Destination,A03,407.5
30,Source,384PP_AQ_BP2,A20,Destination,A04,2000.0
31,Source,384PP_AQ_BP2,A20,Destination,A04,2000.0
32,Source,384PP_AQ_BP2,A20,Destination,A04,245.0
33,Source,384PP_AQ_BP2,A03,Destination,A05,7.5
34,Source,384PP_AQ_BP2,A04,Destination,A05,87.5
35,Source,384PP_AQ_BP2,A05,Destination,A05,1085.0
36,Source,384PP_AQ_BP2,A08,Destination,A05,22.5
37,Source,384PP_AQ_BP2,A09,Destination,A05,542.5
38,Source,384PP_AQ_BP2,A11,Destination,A05,775.0
39,Source,384PP_AQ_BP2,A12,Destination,A05,130.0
40,Source,384PP_AQ_BP2,A13,Destination,A05,32.5
41,Source,384PP_AQ_BP2,A14,Destination,A05,677.5
42,Source,384PP_AQ_BP2,A16,Destination,A05,390.0
43,Source,384PP_AQ_BP2,A17,Destination,A05,107.5
44,Source,384PP_AQ_BP2,A18,Destination,A05,145.0
45,Source,384PP_AQ_BP2,A19,Destination,A05,5.0
46,Source,384PP_AQ_BP2,A20,Destination,A05,240.0
47,Source,384PP_AQ_BP2,A03,Destination,A06,10.0
48,Source,384PP_AQ_BP2,A04,Destination,A06,65.0
49,Source,384PP_AQ_BP2,A05,Destination,A06,1085.0
50,Source,384PP_AQ_BP2,A08,Destination,A06,55.0
51,Source,384PP_AQ_BP2,A09,Destination,A06,542.5
52,Source,384PP_AQ_BP2,A11,Destination,A06,387.5
53,Source,384PP_AQ_BP2,A12,Destination,A06,195.0
54,Source,384PP_AQ_BP2,A13,Destination,A06,37.5
55,Source,384PP_AQ_BP2,A14,Destination,A06,1017.5
56,Source,384PP_AQ_BP2,A16,Destination,A06,390.0
57,Source,384PP_AQ_BP2,A17,Destination,A06,107.5
58,Source,384PP_AQ_BP2,A18,Destination,A06,290.0
59,Source,384PP_AQ_BP2,A19,Destination,A06,2.5
60,Source,384PP_AQ_BP2,A20,Destination,A06,60.0
61,Source,384PP_AQ_BP2,A03,Destination,A07,27.5
62,Source,384PP_AQ_BP2,A04,Destination,A07,270.0
63,Source,384PP_AQ_BP2,A20,Destination,A07,2000.0
64,Source,384PP_AQ_BP2,A20,Destination,A07,1947.5
65,Source,384PP_AQ_BP2,A03,Destination,A08,27.5
66,Source,384PP_AQ_BP2,A04,Destination,A08,270.0
67,Source,384PP_AQ_BP2,A05,Destination,A08,1085.0
68,Source,384PP_AQ_BP2,A09,Destination,A08,542.5
69,Source,384PP_AQ_BP2,A17,Destination,A08,107.5
70,Source,384PP_AQ_BP2,A20,Destination,A08,2000.0
71,Source,384PP_AQ_BP2,A20,Destination,A08,210.0
72,Source,384PP_AQ_BP2,A03,Destination,A09,5.0
73,Source,384PP_AQ_BP2,A04,Destination,A09,97.5
74,Source,384PP_AQ_BP2,A05,Destination,A09,1085.0
75,Source,384PP_AQ_BP2,A08,Destination,A09,32.5
76,Source,384PP_AQ_BP2,A09,Destination,A09,542.5
77,Source,384PP_AQ_BP2,A11,Destination,A09,387.5
78,Source,384PP_AQ_BP2,A12,Destination,A09,227.5
79,Source,384PP_AQ_BP2,A13,Destination,A09,37.5
80,Source,384PP_AQ_BP2,A14,Destination,A09,847.5
81,Source,384PP_AQ_BP2,A16,Destination,A09,217.5
82,Source,384PP_AQ_BP2,A17,Destination,A09,107.5
83,Source,384PP_AQ_BP2,A18,Destination,A09,252.5
84,Source,384PP_AQ_BP2,A19,Destination,A09,2.5
85,Source,384PP_AQ_BP2,A20,Destination,A09,400.0
86,Source,384PP_AQ_BP2,A03,Destination,A10,7.5
87,Source,384PP_AQ_BP2,A04,Destination,A10,75.0
88,Source,384PP_AQ_BP2,A05,Destination,A10,1085.0
89,Source,384PP_AQ_BP2,A08,Destination,A10,32.5
90,Source,384PP_AQ_BP2,A09,Destination,A10,542.5
91,Source,384PP_AQ_BP2,A11,Destination,A10,387.5
92,Source,384PP_AQ_BP2,A12,Destination,A10,162.5
93,Source,384PP_AQ_BP2,A13,Destination,A10,32.5
94,Source,384PP_AQ_BP2,A14,Destination,A10,340.0
95,Source,384PP_AQ_BP2,A16,Destination,A10,217.5
96,Source,384PP_AQ_BP2,A17,Destination,A10,107.5
97,Source,384PP_AQ_BP2,A18,Destination,A10,217.5
98,Source,384PP_AQ_BP2,A19,Destination,A10,5.0
99,Source,384PP_AQ_BP2,A20,Destination,A10,1035.0
100,Source,384PP_AQ_BP2,A03,Destination,A11,27.5
101,Source,384PP_AQ_BP2,A04,Destination,A11,270.0
102,Source,384PP_AQ_BP2,A20,Destination,A11,2000.0
103,Source,384PP_AQ_BP2,A20,Destination,A11,1947.5
104,Source,384PP_AQ_BP2,A03,Destination,A12,27.5
105,Source,384PP_AQ_BP2,A04,Destination,A12,270.0
106,Source,384PP_AQ_BP2,A20,Destination,A12,2000.0
107,Source,384PP_AQ_BP2,A20,Destination,A12,1947.5
108,Source,384PP_AQ_BP2,A03,Destination,A13,2.5
109,Source,384PP_AQ_BP2,A04,Destination,A13,10.0
110,Source,384PP_AQ_BP2,A05,Destination,A13,1085.0
111,Source,384PP_AQ_BP2,A08,Destination,A13,27.5
112,Source,384PP_AQ_BP2,A09,Destination,A13,542.5
113,Source,384PP_AQ_BP2,A11,Destination,A13,580.0
114,Source,384PP_AQ_BP2,A12,Destination,A13,227.5
115,Source,384PP_AQ_BP2,A13,Destination,A13,32.5
116,Source,384PP_AQ_BP2,A14,Destination,A13,1187.5
117,Source,384PP_AQ_BP2,A16,Destination,A13,87.5
118,Source,384PP_AQ_BP2,A17,Destination,A13,107.5
119,Source,384PP_AQ_BP2,A18,Destination,A13,72.5
120,Source,384PP_AQ_BP2,A19,Destination,A13,5.0
121,Source,384PP_AQ_BP2,A20,Destination,A13,277.5
122,Source,384PP_AQ_BP2,A03,Destination,A14,5.0
123,Source,384PP_AQ_BP2,A04,Destination,A14,97.5
124,Source,384PP_AQ_BP2,A05,Destination,A14,1085.0
125,Source,384PP_AQ_BP2,A08,Destination,A14,32.5
126,Source,384PP_AQ_BP2,A09,Destination,A14,542.5
127,Source,384PP_AQ_BP2,A11,Destination,A14,387.5
128,Source,384PP_AQ_BP2,A12,Destination,A14,227.5
129,Source,384PP_AQ_BP2,A13,Destination,A14,37.5
130,Source,384PP_AQ_BP2,A14,Destination,A14,847.5
131,Source,384PP_AQ_BP2,A16,Destination,A14,217.5
132,Source,384PP_AQ_BP2,A17,Destination,A14,107.5
133,Source,384PP_AQ_BP2,A18,Destination,A14,252.5
134,Source,384PP_AQ_BP2,A19,Destination,A14,2.5
135,Source,384PP_AQ_BP2,A20,Destination,A14,400.0
136,Source,384PP_AQ_BP2,A03,Destination,A15,2.5
137,Source,384PP_AQ_BP2,A04,Destination,A15,42.5
138,Source,384PP_AQ_BP2,A05,Destination,A15,1085.0
139,Source,384PP_AQ_BP2,A08,Destination,A15,32.5
140,Source,384PP_AQ_BP2,A09,Destination,A15,542.5
141,Source,384PP_AQ_BP2,A11,Destination,A15,387.5
142,Source,384PP_AQ_BP2,A12,Destination,A15,97.5
143,Source,384PP_AQ_BP2,A13,Destination,A15,5.0
144,Source,384PP_AQ_BP2,A14,Destination,A15,1017.5
145,Source,384PP_AQ_BP2,A16,Destination,A15,87.5
146,Source,384PP_AQ_BP2,A17,Destination,A15,107.5
147,Source,384PP_AQ_BP2,A18,Destination,A15,252.5
148,Source,384PP_AQ_BP2,A20,Destination,A15,582.5
149,Source,384PP_AQ_BP2,A03,Destination,A16,27.5
150,Source,384PP_AQ_BP2,A04,Destination,A16,270.0
151,Source,384PP_AQ_BP2,A20,Destination,A16,2000.0
152,Source,384PP_AQ_BP2,A20,Destination,A16,1947.5
153,Source,384PP_AQ_BP2,A03,Destination,A17,10.0
154,Source,384PP_AQ_BP2,A04,Destination,A17,65.0
155,Source,384PP_AQ_BP2,A05,Destination,A17,1085.0
156,Source,384PP_AQ_BP2,A08,Destination,A17,55.0
157,Source,384PP_AQ_BP2,A09,Destination,A17,542.5
158,Source,384PP_AQ_BP2,A11,Destination,A17,387.5
159,Source,384PP_AQ_BP2,A12,Destination,A17,162.5
160,Source,384PP_AQ_BP2,A13,Destination,A17,37.5
161,Source,384PP_AQ_BP2,A14,Destination,A17,1017.5
162,Source,384PP_AQ_BP2,A16,Destination,A17,390.0
163,Source,384PP_AQ_BP2,A17,Destination,A17,107.5
164,Source,384PP_AQ_BP2,A18,Destination,A17,290.0
165,Source,384PP_AQ_BP2,A19,Destination,A17,2.5
166,Source,384PP_AQ_BP2,A20,Destination,A17,92.5
167,Source,384PP_AQ_BP2,A04,Destination,A18,42.5
168,Source,384PP_AQ_BP2,A05,Destination,A18,1085.0
169,Source,384PP_AQ_BP2,A08,Destination,A18,22.5
