Iter 1/100 | Train loss: 1.1047
Iter 2/100 | Train loss: 1.0544
Iter 3/100 | Train loss: 1.0074
Iter 4/100 | Train loss: 0.9723
Iter 5/100 | Train loss: 0.9239
Iter 6/100 | Train loss: 0.8808
Iter 7/100 | Train loss: 0.8356
Iter 8/100 | Train loss: 0.7968
Iter 9/100 | Train loss: 0.7641
Iter 10/100 | Train loss: 0.7223
Iter 11/100 | Train loss: 0.6979
Iter 12/100 | Train loss: 0.6697
Iter 13/100 | Train loss: 0.6424
Iter 14/100 | Train loss: 0.6240
Iter 15/100 | Train loss: 0.6008
Iter 16/100 | Train loss: 0.5899
Iter 17/100 | Train loss: 0.5708
Iter 18/100 | Train loss: 0.5661
Iter 19/100 | Train loss: 0.5616
Iter 20/100 | Train loss: 0.5680
Iter 21/100 | Train loss: 0.5688
Iter 22/100 | Train loss: 0.5664
Iter 23/100 | Train loss: 0.5619
Iter 24/100 | Train loss: 0.5683
Iter 25/100 | Train loss: 0.5719
Iter 26/100 | Train loss: 0.5732
Iter 27/100 | Train loss: 0.5702
Iter 28/100 | Train loss: 0.5670
Iter 29/100 | Train loss: 0.5566
Iter 30/100 | Train loss: 0.5545
Iter 31/100 | Train loss: 0.5524
Iter 32/100 | Train loss: 0.5499
Iter 33/100 | Train loss: 0.5448
Iter 34/100 | Train loss: 0.5428
Iter 35/100 | Train loss: 0.5454
Iter 36/100 | Train loss: 0.5430
Iter 37/100 | Train loss: 0.5439
Iter 38/100 | Train loss: 0.5391
Iter 39/100 | Train loss: 0.5469
Iter 40/100 | Train loss: 0.5394
Iter 41/100 | Train loss: 0.5404
Iter 42/100 | Train loss: 0.5434
Iter 43/100 | Train loss: 0.5420
Iter 44/100 | Train loss: 0.5418
Iter 45/100 | Train loss: 0.5400
Iter 46/100 | Train loss: 0.5430
Iter 47/100 | Train loss: 0.5375
Iter 48/100 | Train loss: 0.5409
Iter 49/100 | Train loss: 0.5367
Iter 50/100 | Train loss: 0.5395
Iter 51/100 | Train loss: 0.5380
Iter 52/100 | Train loss: 0.5334
Iter 53/100 | Train loss: 0.5369
Iter 54/100 | Train loss: 0.5359
Iter 55/100 | Train loss: 0.5352
Iter 56/100 | Train loss: 0.5369
Iter 57/100 | Train loss: 0.5334
Iter 58/100 | Train loss: 0.5364
Iter 59/100 | Train loss: 0.5358
Iter 60/100 | Train loss: 0.5352
Iter 61/100 | Train loss: 0.5341
Iter 62/100 | Train loss: 0.5365
Iter 63/100 | Train loss: 0.5336
Iter 64/100 | Train loss: 0.5328
Iter 65/100 | Train loss: 0.5325
Iter 66/100 | Train loss: 0.5319
Iter 67/100 | Train loss: 0.5326
Iter 68/100 | Train loss: 0.5340
Iter 69/100 | Train loss: 0.5344
Iter 70/100 | Train loss: 0.5309
Iter 71/100 | Train loss: 0.5342
Iter 72/100 | Train loss: 0.5372
Iter 73/100 | Train loss: 0.5337
Iter 74/100 | Train loss: 0.5337
Iter 75/100 | Train loss: 0.5307
Iter 76/100 | Train loss: 0.5354
Iter 77/100 | Train loss: 0.5328
Iter 78/100 | Train loss: 0.5352
Iter 79/100 | Train loss: 0.5327
Iter 80/100 | Train loss: 0.5295
Iter 81/100 | Train loss: 0.5317
Iter 82/100 | Train loss: 0.5321
Iter 83/100 | Train loss: 0.5309
Iter 84/100 | Train loss: 0.5326
Iter 85/100 | Train loss: 0.5303
Iter 86/100 | Train loss: 0.5319
Iter 87/100 | Train loss: 0.5293
Iter 88/100 | Train loss: 0.5321
Iter 89/100 | Train loss: 0.5329
Iter 90/100 | Train loss: 0.5310
Iter 91/100 | Train loss: 0.5319
Iter 92/100 | Train loss: 0.5329
Iter 93/100 | Train loss: 0.5313
Iter 94/100 | Train loss: 0.5341
Iter 95/100 | Train loss: 0.5350
Iter 96/100 | Train loss: 0.5295
Iter 97/100 | Train loss: 0.5328
Iter 98/100 | Train loss: 0.5305
Iter 99/100 | Train loss: 0.5310
Iter 100/100 | Train loss: 0.5301
Final MSE: 0.1644
