SampleID,Resp,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,d_xylose,l_arabinose,sodium_chloride,urea,ammonium_chloride,pH,fitness_pykA_PP_1362,fitness_pykF_PP_4301,fitness_ppc_PP_1505
set10IT006__Putida,0.566885094041274,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.116443508276788,-0.0582195679795567,0.00962885808669989
set10IT008__Putida,0.4501858046651138,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.823274700776678,-0.00723570514548522,0.208178359604959
set10IT010__Putida,0.6688959868328512,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.490548857356224,-0.157502672834741,-0.0749342609587909
set10IT017__Putida,0.4243961268316851,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.778181892128751,0.205300505259155,-0.15165134750409
set10IT018__Putida,0.4041958046648474,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.781633308342698,-0.116364787935165,0.0922953134571922
set10IT019__Putida,0.3854174008583328,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.874968656137196,0.104498790924636,-0.111863405580085
set10IT020__Putida,0.5807209083776896,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.34848099148762,0.296792590969605,-0.0581862867632081
set10IT021__Putida,0.6748783486583224,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0251872339272299,0.477170380125097,-0.167415457655163
set10IT022__Putida,0.5687772992361965,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0328797171090238,-0.0826538366842944,-0.0419834952742257
set10IT023__Putida,0.42236355883548515,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.646629711350798,0.00890379659400375,-0.094923602730151
set10IT024__Putida,0.46043882265363606,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.939413564401177,0.277278400101168,0.0801090331479255
set10IT025__Putida,0.5161086724242371,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.24208301274204,0.0370287206537212,-0.159537741276297
set10IT026__Putida,0.4365311293487014,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.508169560188378,-0.120613917320376,-0.0474918941183657
set10IT027__Putida,0.43748823067827625,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.708221804637729,0.159922164602063,-0.124183243176504
set10IT028__Putida,0.5770433322893026,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0979393216519897,0.107944938784117,-0.134587445120693
set10IT029__Putida,0.4350341800928494,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-1.12162036348222,0.363612156057548,0.0757974460560396
set10IT031__Putida,0.41237905253056206,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.791517160212877,0.00249465127149917,0.0163428775021759
set10IT032__Putida,0.49293765184619615,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.301894742841071,-0.000988207650139294,-0.1520899814193
set10IT033__Putida,0.5962558283809346,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.161997512145692,-0.0668551114345157,-0.142472758136317
set10IT034__Putida,0.6616390936191836,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.0485982038207791,0.186821075728181,-0.00907810930553588
set10IT035__Putida,0.5777444486593051,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.307129037534691,-0.370931004830917,-0.0579786845654497
set10IT036__Putida,0.3880814518762996,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.960464304165795,0.175518644749319,-0.0864371000702049
set10IT037__Putida,0.4834033469076688,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.418464054927788,0.0416998587745792,-0.115410503272402
set10IT043__Putida,0.6349831691467014,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0412965324850632,0.114999769440365,0.0386218197988495
set10IT044__Putida,0.567562975547318,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0778414486390648,-0.18032282814342,0.09582217780682
set10IT053__Putida,0.6471008568828077,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.326766652337549,0.173980163123896,-0.337079034142824
set12IT001__Putida,0.6324227541368096,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0630869232250872,0.158542631794514,0.00611582583973469
set12IT002__Putida,0.7729633496870921,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.398381913567484,0.249513255286707,0.119038416078932
set12IT004__Putida,0.8137303578131173,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.505314985464097,0.455998364143612,0.048674976765585
set12IT007__Putida,0.7733482287075568,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.531490904589009,0.190458691068945,0.0471233685940948
set12IT008__Putida,0.3907299164234134,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.480164947896906,-0.352896384813386,-0.0274622077714541
set12IT009__Putida,0.5051793383177261,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.523531245689828,0.0674406746289007,0.0488576665718341
set12IT012__Putida,0.7907219595918767,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.197959841904581,0.519982362359531,0.150538981900997
set12IT014__Putida,0.8181187701994218,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.943332875856848,0.276676546388442,-0.181534749685905
set12IT015__Putida,0.4563210896848181,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.228006874845077,-0.369926797449029,-0.000262032106649102
set12IT016__Putida,0.5144326985419471,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.161025361704741,-0.425065158455608,-0.107093944075412
set12IT017__Putida,0.7185657063656911,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.677028150141112,-0.268472073312118,0.0778395239902792
set12IT023__Putida,0.6654698311501049,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.0294014977239998,0.300837730238073,-0.0871697213110094
set12IT024__Putida,0.5893387523654935,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.232569537394292,-0.221310649254006,-0.0865257498209919
set12IT025__Putida,0.7141294733141911,0.0,0,0,0.0,10,0,0,0,0,9.5,7.0,0.205675725567015,0.220739611221657,0.0386954926024292
set12IT026__Putida,0.46862171002127795,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0422066868711619,-0.462219890671537,-0.0455275749778146
set12IT027__Putida,0.2328779608839599,10.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-1.53649004068748,0.103396540947088,-0.156541200892152
set12IT028__Putida,0.4953281364581241,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.398804040041422,-0.200836396904709,0.153990699843232
set12IT029__Putida,0.4976427719398103,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0343854033852082,-0.4897600949696,0.0875223366896924
set12IT031__Putida,0.6422042787848756,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,-0.0125721342164873,0.0415173192552913,0.11388358336221
set12IT032__Putida,0.6201115074431223,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.358038476761408,-0.366568879210565,0.0588194438254837
set12IT034__Putida,0.6999348548042031,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.397408999362815,0.0947932492647454,-0.0939084472543463
set12IT037__Putida,0.649321588549909,0.0,0,0,0.0,0,0,0,0,0,9.5,7.0,0.187605870386912,0.132371453126862,-0.146815376040573
